
《16.将进酒》

01.IW-ST-1 客将至
//////  尚蜀风高，拨云弄月。  //////
//////  这块地界，自古多山。 按说建立移动城市后，这些崎岖地形，是不利于城市建设的。  //////

//////  可尚蜀人民不愿放弃自己自古生存的故乡， 既然搬山费事费力，那就将城市融入群山。  //////
//////  于是，不同于其他城市，尚蜀的城市地块分散在了群峦之间， 相隔百米千米不等，各有风景。  //////

//////  幸好尚蜀地界人杰地灵，最近些年，都未曾遭遇天灾。 尚蜀人在山上建立了新的城镇，打通山体，修建索道、隧道。  //////
//////  更有甚者，在土木天师的协助下， 一些名山峻岭，被直接挪移到了移动平台上......  //////
"克洛丝": ......慢着，土木天师是什么？
"乌有": 恩人有所不知，大炎设有不止一处天师府，天下学子但凡源石技艺小有所成，都可以报考加入，经过层层考校，为国效力。
"乌有": 源石技艺的应用方向有很多种，源石科学也是蓬勃发展，大炎天师自然也需要分门别类，此所谓术业有专攻。
"克洛丝": 我还以为这种酷酷的称呼，都是指惊蛰小姐那样能征善战的施术者来着。
"乌有": 惊蛰小姐就是恩人之前提过的罗德岛的那位炎国大官？哎呀，其实很久以前确是如此，只不过时代变化，民生大过天嘛。
"乌有": 源石技术造福民众，而对源石技艺与源石工程研究投入毕生心血的，就是大炎工部与各处天师府了。
"克洛丝": 把山挪到移动城市上啊......放在其他国家，这种事情肯定无法想象......
"乌有": 那是。不过虽说山水有情，但要真是劳民伤财，倒也不至于折腾这么大阵仗。
"乌有": 主要还是有些土木天师对家乡心心念念，呕心沥血，非说什么移山小事一桩，不能舍山庄村落于不顾，硬摁着当地官员答应了下来......
"乌有": 炎国有句老话，一方水土养一方人。
"乌有": 可惜我在源石技艺方面实在是捉襟见肘，不然如果我是那些建造移动城市的人，我也会是同样的想法。
"克洛丝": 你们大炎人都是这样吗？
"乌有": 因为眼前有如此江山——

"乌有": 风光无限。早春听雪，别有韵味。
"乌有": 如果恩人自小生活在这里，兴许也会有这种想法吧。
"克洛丝": ......确实说不定呢。
"克洛丝": 呼——真清爽。
"克洛丝": “尚蜀风高，拨云弄月”，确实是名副其实。
"乌有": 尚蜀地界有“三山十七峰”的美景，来旅游的人还挺多的，还会有一些外国贵族特地前来瞻仰呢。
"乌有": 唉，想必还是因为寻常百姓在这大地上跋山涉水太困难了，不然这些名胜古迹，怕是早就人满为患咯。
"克洛丝": ......好舒服的风。我本来还担心今天下雨，耽搁我们走山路。
"乌有": 恩人说的是。春风拂面，细雨纷来，润物无声。
"克洛丝": 之前我就想问了，你不是个练武的吗？哪来这么多文绉绉的用词？
"乌有": 习武可不耽搁学文化，师父常这么教训。习武是传统，学文也是传统，好好学习，是现代人的义务......
"乌有": ......再说，话术也是挣钱的门道嘛。
"乌有": 恩人，要不要顺道游览一番最近的山头？听说这两年，山里的人也多起来了，热闹得很。
"克洛丝": 不了吧，我们进城休整一两天，等到那姐妹俩与我们会合，就得继续赶路了......
"克洛丝": 唉，不过我还是第一次有这种可惜了沿途风景的心情呢。
"乌有": 恩人向来专心致志，只向目标，心无二物，说明恩人工作认真，没有丝毫懈怠呀。
"克洛丝": ......没有丝毫懈怠......我吗？
"乌有": 当然！
"克洛丝": 这种好话可以多说点喔，我不会当真的。
"乌有": 欸，恩人，不过是带我去办事处入职罢了，这点小事，犯不着那么急。
"乌有": 我也听炎熔恩人说了，您这趟远游，本来也有放假散心的心思，那就更没必要耽误恩人游山玩水，对吧？

"克洛丝": 唉。
"克洛丝": 要是小炎熔也在就好了......需要整理思绪的，也不止我一个人啊。
"乌有": 炎熔恩人只是突然受了委托，走另一条路而已，想必沿途风景，也是看得到的。
"克洛丝": 我可不觉得小炎熔会是那种停下脚步来欣赏风景的人。
"乌有": 哈哈，炎熔恩人一直如此。
"克洛丝": ......其实以前，她不是现在这样，当然我也不是。
"乌有": ......恩人不必介怀，事在变，人在变，世事无常。
"乌有": 我们还是早些赶路吧。

"街头青年": 杜小姐，人找到了。
"杜小姐": 确定？
"街头青年": 错不了，从争山渡进城，已经到了未长区应峰路，安排了信得过的人，一路跟着呢。
"杜小姐": 龙门人，随身带了只古董匣子，对吧。
"街头青年": 是，看得一清二楚。
"杜小姐": 出了岔子，你们可是要担责的。
"街头青年": 大小姐交代的事，出不了岔子。
"杜小姐": ......好！
"杜小姐": 那我们就替那些胆小怕事的老家伙们，去会一会这个江洋大盗！



02.IW-1 化物



客栈在尚蜀有十数个分号。不过，分号并不叫行裕，也许叫行禄，也许叫行福，而叫行裕的，只此一家。
当然也只此一家，既能见近处高楼夜景，亦能眺远方双月映湖。掌柜的选址，从来只看风景。至于什么客流，租价，那是从来不在意的。
风景好了，客人心情就好。风景好了，便是与天地同心，想不赚钱都难。
"老鲤": 嗯......确实是好茶，好景。
"老船夫": 初来乍到，挑个好地方落脚。对尚蜀有个好印象。
"老鲤": 行裕客栈，很古雅的名字。
"老船夫": 是家名店，但最早不是做餐饮这行的，不过这些年突然转了行，掌柜的有本事，做起生意来也是顺风顺水。
"老船夫": 即便家大业大，老掌柜的也......
"老鲤": ......是那位忙忙碌碌的老先生？
"老船夫": 可不是。
"老鲤": 半点看不出老板模样，兢兢业业，令人心生敬佩。
"老鲤": 就是不知道我那位姓梁的昔日同窗......如今在做什么。
"老船夫": 你自己说了嘛，兢兢业业。
"老鲤": ......是个好官？
"老船夫": 街上随便拉个路人，擦鞋的，卖山芋的，或者出租车司机，谁提到梁大人都竖大拇指。
"老鲤": ......哈哈，那也算是他得偿所愿了，羡慕不来啊。
"老船夫": 我听梁大人提起，你与他，已有十多年没见了？
"老鲤": 是。
"老船夫": 可梁大人依然选你，来送这件货物。
"老鲤": 没错。
"老船夫": 那你俩的关系，也要竖大拇指了。
"老船夫": 我没见识，看不出这东西的好坏，只是看梁大人那神色就知道，此事大意不得。
"老鲤": 哪里哪里，我可不敢与“梁大人”高攀什么关系，不过要说梁洵此人，倒确实算个朋友。
"老船夫": 朋友？
"老鲤": 好朋友。
"老船夫": 好朋友难得。十几年没见过了，还能当好朋友的，更难得。
"老鲤": 那你呢，慎师傅？
"老船夫": 我？
"老鲤": 码头渡口有那么多摆渡师傅，我偏偏上了你的船，你就不奇怪？
"老船夫": 不奇怪。梁大人交代过我，那多半也交代过你。具体的，我没必要问。
"老鲤": 这是替梁大人从走私贩手里抢来的，费了不少功夫。
"老船夫": ......我没问，你倒也说了，憋得慌吧。
"老鲤": 千里迢迢，实在缺个说话的伴。
"老鲤": 你倒是信得过那姓梁的，明明他长了副生人勿近的冷淡嘴脸。
"老船夫": 哎。你信他，是因为他是你朋友，我信他，是因为他是尚蜀的父母官。
"老鲤": 两位认识？
"老船夫": 认识，梁大人对我们好，就认识。
"老鲤": 慎师傅做这行多少年了？
"老船夫": 记不清啦......谁掰着手指头数自个儿漂泊了多少年呢？约莫有个......二三十年？
"老鲤": 慎师傅也值得敬佩。
"老船夫": 船夫而已，有啥好敬佩的。这几年船都装上发动机了，再过几年，我怕我都要失业。
"老鲤": 那也得靠人引航寻路，看一路天况如何。想来走水路的船夫，但凡水路长些，岁月久些，也都和天灾信使相去无几了吧。
"老船夫": ......天灾啊。
"老船夫": 不常遇到，但要是遇到了，终生难忘。
"老鲤": 慎师傅遇见过天灾？
"老船夫": 遇见过，但也见过比天灾更吓人的，不过不是在江上——得了，说这些做什么。
"老船夫": ......唔。
"老鲤": 怎么？
"老船夫": ......稀奇，好像是外国人。
"客栈伙计": 欸，客人两位？
"乌有": 两位。
"克洛丝": 这就是你说的“名声在外，菜品一绝，服务周到，童叟无欺”的行裕客栈？
"乌有": 当然当然，我师父过去就曾夸奖过“行裕”，一直没机会来尚蜀，这不就特地带恩人找来了嘛。
"乌有": 唉，只是......
"克洛丝": 只是？
"乌有": 嘿嘿，说来惭愧，师父只是夸了，没说夸什么。所以我也不知道这行裕客栈厉害在哪儿。
"克洛丝": ......
"客栈伙计": 来，茶水。
"客栈伙计": 二位，打尖还是住店？
"克洛丝": 哇哦，标准的客栈开场词欸。
"客栈伙计": 嘿，您别说，咱们虽然开张没几年，可真要论“行裕”这个名字，也算个百年老字号啦。
"乌有": 恩人，反正是要找个落脚处的。这里价格也合适，离约定的北渡口也不远，不如？
"克洛丝": 我是随便啦......
"乌有": 客房两间。
"客栈伙计": 好嘞。现在吃点啥不？
"乌有": 都有什么？
"客栈伙计": 推荐套餐就打在牌子上。现在按午市算，您有什么需要，招呼一声就行。
"乌有": 好，我瞧瞧......
"克洛丝": 这个看起来不错欸，很有大炎风情。
"乌有": ......恩人，这个特辣毛血旺套餐......我们还是别点了吧？
"克洛丝": 为什么？入乡随俗，干嘛不尝试一下？
"乌有": 根据我的经验，这种菜品，不适合您这样的雷姆必拓人在中午大快朵颐。
"克洛丝": 是这样吗？我还挺能吃辣的喔。
"乌有": ......
"克洛丝": ......你在看什么？
"乌有": 看那边那位掌柜。
"克洛丝": 怎么了？
"乌有": 厉害。
"克洛丝": 怎么厉害？
"乌有": 有这么大一份家业，当然厉害。不过更厉害的是......
"克洛丝": ......手上有茧？
"乌有": 恩人果然好眼力！
"克洛丝": 而且从进门起，二楼就有两位客人在打量咱们。
"乌有": 嗯？
"老船夫": 怎么一直盯着他们？
"老鲤": 咦......怎么那位卡特斯看着这么面熟......
"郑掌柜": ......
"客栈伙计": 掌柜的，您今天就待咱们这儿？不去渡口那边看看？
"郑掌柜": 不去，今儿和人有约了，就在这儿待客。
"客栈伙计": 嘿，掌柜的还特地亲自接待，那想必是个大客户了，咱们今天也能开张了？能挣多少？
"郑掌柜": 钱未必挣得，事儿倒是少不了。
"客栈伙计": ......是那边的生意？
"郑掌柜": 是也不是。
"客栈伙计": 此话怎讲？
"郑掌柜": 别这么啰嗦，还不快去迎客。
"客栈伙计": 嘁，小气。
"客栈伙计": 欸欢迎光临，几位客官，不知——
"杜小姐": ......哼。
"客栈伙计": 杜小姐？您这是——
"杜小姐": 和你没关系，一边去吧。
"郑掌柜": ......
(震动)
"杜小姐": 喂！
"乌有": 哇——姑娘好大的嗓门，找我？
"杜小姐": ......一身花里胡哨的穿着，戴眼镜，看着神棍的邋遢小哥。
"杜小姐": 那就是你了，对吧。
"乌有": ......呃......这评价是不是有点......
"克洛丝": 是你的仇家？
"乌有": 不，再怎么说他们也不至于喊个小丫头来......
(震动)
"杜小姐": 说谁小丫头呢！
"乌有": ——！
(震动)
"乌有": （一脚挑飞了木椅——好腿法！）
"杜小姐": 哼。坐着就能躲开，反应倒挺快。
"街头青年": 大小姐，大小姐！
"杜小姐": 干嘛，没看我忙着——
"街头青年": 这男人是个黎博利吧，我记得信上说，那人是龙来着......
"杜小姐": ......
"乌有": ......
(震动)
"杜小姐": ......那就是楼上那个人了，是你了，对吧！？
(震动)
"乌有": 喂，道个歉吧起码！
"克洛丝": 好了好了......嗯？

"老鲤": ......我自觉衣品不错来着。
"老船夫": 看这架势，来者不善哪。
"老鲤": 进门欺负一下木椅，可怜那位小哥险些白挨了一顿打。
"杜小姐": 既然已经被本小姐找到，就老老实实把东西交出来吧。

"杜小姐": 哼，敢在光天化日之下混进城，你也算胆子大的。
"老鲤": ......这位杜小姐，怕是有什么误会吧？
"杜小姐": 你是不是从龙门来？
"老鲤": 呃，是。
"杜小姐": 是不是带着一只古董酒盏？
"老鲤": ......
"杜小姐": 那本小姐给你一分钟时间狡辩。时间到了，就乖乖把东西交了，跟我走。
"老鲤": 这年头小姑娘都这样不听人话吗......真让人怀念我家那几个懂事的孩子。
"老船夫": ......不用这么看我。梁大人也交代过，这酒盏是他专程托你从龙门带来的。
"老船夫": 既然梁大人说了，那我就信任他。
"老鲤": 那是，多谢慎师傅信任。
"老船夫": 稀奇了......既然是梁大人所托，这小丫头竟然还敢光明正大说要抢？
"老鲤": 唉。
"老鲤": 这只酒盏，是我家某位大姑娘从一伙走私贩子手里抢来的，要真说有没有合法手续......哈哈。
"老船夫": 酒盏很奇特？
"老鲤": 调查过一番，只留下些不明所以的传说，是那些走私贩从当地人口中听来的......
"老鲤": 唉，怎么就撞上这么麻烦的事情了呢。
"克洛丝": （小乌有，这一幕我在电影里见过哎！）
"乌有": （我也见过！不过一般这种时候就要喊警察啦，总不至于真打起来......）
"杜小姐": 喂，别嘀嘀咕咕了，想好借口了吗？
"乌有": （这小姑娘，扯起嗓门中气十足啊......二楼那两位，就是嫌疑人咯？）
"克洛丝": ......
"乌有": （恩人？）
"克洛丝": （小乌有......那个人......我好像认识......）
"乌有": （什么？那位确实与我有七分形似两分神似的人？）
"克洛丝": （不是，他......呃......算罗德岛的合作人......还有一分呢？）
"老鲤": 这样吧，这位小姐，反正我已经被你抓到了，逃不掉，不如把警察喊来......
"杜小姐": 想拖延时间是吧，好啊，本小姐倒要看看你能拖延多久。
"杜小姐": 给我上！
"街头青年": 别让他跑了！
(震动)
"乌有": 且慢！
"杜小姐": ......怎么，想给刚才的事讨个公道？
"杜小姐": 你让本小姐办完事，你这两天在这里的开销，本小姐就包了，如何？
"乌有": 恩人，您先仔细瞧瞧，要是认错了人，咱们揽这茬可就亏大了。
"克洛丝": ......鲤先生？
"老鲤": ......啊。
"老鲤": 你......金头发，看不出睁眼还是闭眼的小兔子......你是罗德岛的干员？
"乌有": 天下之大，大炎之大，尚蜀之大，恩人恰好能在一家小酒馆里他乡遇故知，是多低的概率......
"乌有": 还请各位，给个薄面，莫要扫兴。
"杜小姐": ——什么乱七八糟的，你们果然是一伙的！
"杜小姐": 围住他们！今天不把赃物交出来，谁也别想走！

哦？为何突然有此想法？
梦见罔两问景，有感而发。
那我倒是想瞧瞧，这些寻常物件，你打算如何让它们显灵？
就当是我无心之举吧，别笑话我就是。

"老鲤": ......！
"老鲤": 什么......刚才......
(震动)
"乌有": 恩人，小心！
(震动)
"克洛丝": 都是些普通人，下手轻点哦。
"街头青年": 那个黎博利是个练家子的！小心点！这个卡特斯就交给我——欸？人呢？
"克洛丝": 怎么二话不说就动起手来了......
"街头青年": 什、什么时候跑到二楼去了！？
"克洛丝": 没必要伤人，小乌有，悠着点哦。
"克洛丝": 鲤先生，这边。
"老鲤": 唉，把你们卷进来了，真是抱歉。
"克洛丝": 能在这里遇见鲤先生，也算是意料之外吧。好了，还是先离开这里吧。
"杜小姐": 喂——！你们当我不存在吗！？想走就走的？
"乌有": 抱歉，此路不通。
"杜小姐": 你说了算吗！？
(震动)
"客栈伙计": ......扇子？那神棍......啊不是，那位客人竟然使的是如此少见的功夫？
"郑掌柜": ......
"客栈伙计": 郑掌柜？掌柜的？您再不劝劝架，一楼桌椅要被拆光啦。
"郑掌柜": ......唉。
"客栈伙计": 我看那使扇的小哥招招有惊无险，游刃有余。不过大小姐倒也没有倾尽全力，这会儿劝劝，还能和气生财。
"客栈伙计": 她好歹还顾虑着点......
"郑掌柜": 唉！
"郑掌柜": 贵人哪！

早春，傍晚，风如期而至，雨未必来。尚蜀的春天，一向如此。
男人抬头望天，云雾缭绕，晦明不定，但极远处，却又隐隐得见天光。
春寒料峭，轻风拂衣。
"不苟言笑的男子": 算算时间，他也该到了。
"不苟言笑的男子": ......嗯......
"不苟言笑的男子": 但愿事情能顺利结束。


  <行动后>


(震动)
"杜小姐": ......嘁。
"乌有": 嗯？怎么停下了？
"乌有": 莫不是刚才我出手太重，不小心伤了姑娘？
"杜小姐": ......哼，会点花里胡哨的功夫，得意什么？
"杜小姐": 既然已经被那江洋大盗跑了，再和你纠缠也没有什么意义，你这种——
"杜小姐": ——你叫什么？
"乌有": 乌有。
"杜小姐": 呵，哪有贼人会自报姓名的，想必是什么江湖名号吧。
"乌有": 欸，您真聪明。
"杜小姐": 那我要是接着追，你是不是就不打算让开了？
"乌有": 不然怎么说您聪明呢？
"杜小姐": ......还敢嘴硬！
"街头青年": 还愣着干什么！一起上啊！
"街头青年": 小姐！我们来帮忙了！
(震动)
"郑掌柜": ——慢着！
(震动)
"街头青年": 咿......
"郑掌柜": 咳。
"郑掌柜": 这里怎么说也是客栈的地儿，二位再这么闹下去，疮痍满目，白给路人看笑话，怕是不太妥当。
"杜小姐": ......嘁。
"郑掌柜": 不过，二位打得精彩，给我们这些人开了眼界，赔偿呢......我就不要了。
"郑掌柜": 但现在还请给我一个薄面，今天就先算了吧。
"杜小姐": ......哼。
"乌有": 对不住了，掌柜的。事后解开误会，我们自会登门道歉。
"杜小姐": ......看在掌柜的面子上，这次就放过你吧。
"杜小姐": 我不知道你们和他是什么关系，劝你们好自为之，乖乖把他交出来。
"杜小姐": 要是包庇他，你们就都是同罪。放过你一时无妨，但尚蜀容不下你们这样的法外之徒。
"乌有": 真要是法外之徒，报警就是了，杜小姐何必私下动武呢？
"郑掌柜": 乌有兄弟说的是，再怎么占理，也不该一言不合就动起手来。
"杜小姐": ......你！
"郑掌柜": 这位小姐。
"郑掌柜": 让你的人退下吧。
"街头青年": 小、小姐，就这么放走他......？抓着他一个，等着那个龙门人上钩——
"杜小姐": ......别嚷嚷。
"杜小姐": 反正那个龙门人已经跑了，留住这一个也没多大用。
"杜小姐": ......再说了，当真能留得住吗？你是不是还有什么手段没使？
"乌有": 没有的事，和气生财，和气生财。既然这位小姐愿意退一步，那是再好不过......
"杜小姐": 乌有，我记住你了。
"乌有": 贵人多忘事，但愿您别记着。
"乌有": （悄悄地，悄悄地......好，这个距离差不多能冲出去了......）
"杜小姐": 我是卖郑老头一个面子，出了这道门槛，看谁还能保得住你。不如趁现在老老实实听本小姐的话——
(震动)
"杜小姐": ——喂！人呢！？
"杜小姐": 他、他怎么就这么跑没影了！？你们在做什么！？
"街头青年": ......呃......是小姐您刚才也没说到底要不要放走他......
"杜小姐": ......愣着干什么！追啊！
"街头青年": 是、是！
"客栈伙计": ......杜大小姐哎，您闹得是不是太大了？
"杜小姐": ......你让开！
"客栈伙计": 欸，欸，别——得了，家务事我可管不了......
"杜小姐": 郑老头！你刚才为什么无动于衷，反而还要拦着我！？
"郑掌柜": ......胡闹。
"杜小姐": 什么胡闹！你不是明知道他们会往应峰路走，才在这里等着他们的吗！？
"杜小姐": 城里几十家客栈酒楼都是我们的眼线，要抓一个不知轻重的小贼不是轻而易举——
"郑掌柜": ......不知轻重的是谁？
(震动)
"杜小姐": ......！
"郑掌柜": 你不知道那只酒盏是什么物件，你更不知道刚才那龙门人，到底是什么来头。
"郑掌柜": 何况刚才有高人在场。如果他们真铁了心把事情闹大，赢的会是他们，占理的也会是他们。
"杜小姐": 可是——
"郑掌柜": 可是什么？你知道这一纸委托，到底几斤几两？那位佚名主顾，又是怎样一位人物？
"郑掌柜": 凭你也想丢镖局的脸吗？

"老船夫": ......好像没人追来。
"老船夫": 对不住各位，本来该是我领路的，却落得如此田地。
"老船夫": 可我也实在是没想到，到了尚蜀城内，竟然还能遇上这种事情......
"老船夫": 留那小伙子一个人，真没问题吗？咱们这算不算坑了他？
"老鲤": 那个老板和那位盛气凌人的小姐怕是认识。留下殿后的那位好汉，恐怕没那么容易脱身。
"克洛丝": 什么......鲤先生怎么知道的？
"老鲤": 那姑娘分明几次都在留意掌柜的一举一动，我不会看走眼。
"老鲤": 看走眼，生意就没法做了嘛。
"克洛丝": 唔......
"克洛丝": 只能相信小乌有的逃跑速度了，这点我倒是对他有信心。
"老船夫": ......真没事？
"克洛丝": 没事。那个女孩也不敢在光天化日之下做什么出格举动吧？虽然人少，可那会儿里里外外，还是有一些路人的。
"老鲤": ......呼，能在这里遇见你们罗德岛，真是巧合。
"克洛丝": 鲤先生怎么会来尚蜀？是事务所的委托？
"老鲤": 算是吧，不过只是一个老朋友委托给我的私事。
"克洛丝": ......是那只盒子？
"老鲤": 没错。
"老船夫": 可这真是奇了怪了，在这尚蜀城内，竟然还有人敢抢梁大人的东西？
"老鲤": 不奇怪。如果能安安稳稳抵达尚蜀，梁大人又何苦特地找我呢？
"克洛丝": 梁大人？
"老鲤": 是我一位老同学......你就当是尚蜀的魏彦吾就行。
"克洛丝": 唔啊......魏先生啊......
"老船夫": ......听这口气，各位与龙门魏公是熟识？
"老鲤": 平头百姓也就罢了，可想在龙门混口饭吃的人，有几个不熟知魏公？
"老船夫": 认识魏公，和魏公认识，是两码事。
"老鲤": 确是如此，不过我和魏彦吾的那点孽缘，就先不提了吧。
"老船夫": 唉。可惜，我是结识不了魏公那般人物了。
"老鲤": ......了不起是了不起，但也没有那么了不起。
"克洛丝": 这么说，那位梁大人岂不是个大人物？
"老鲤": 能算大人物吗？
"老船夫": 算，怎么不算。
"老船夫": 慢着，你这话的意思是龙门魏公不算，还是梁大人不算？
"老鲤": 那就算吧，如今都是个大人物了，啧啧啧。当年还只是个不懂变通的愣头青呢。
"克洛丝": ......鲤先生倒还是老样子。
"老鲤": 呵，我在龙门讨日子，和他一个尚蜀大官有多大关系？很久没联系啦。
(震动)
"老船夫": 快瞧，是那小伙子。
"克洛丝": 小乌有！你没事吧？
(震动)
"乌有": 哎哟哟哟，别动，别动，浑身疼，浑身疼......
"乌有": 恩人哪，你是有所不知啊，刚才那丫头片子耍起疯劲来那叫一个狠，我使了浑身解数才勉强招架，趁着掌柜拉架的空当，赶紧开溜啦——
"克洛丝": ......看你跑过来的模样，分明就没受伤嘛。
"克洛丝": 扇子都收在手里，哪使出浑身解数了嘛。
"乌有": 呃......瞒不过恩人......不过太久没大张旗鼓地动过手了，确实有些抽筋......
"老鲤": ......这位小兄弟是？
"克洛丝": 干员乌有。
"乌有": 虽然还没正式入职，不过我那一颗鞠躬尽瘁的心，已经在罗德岛跳动久矣。
"老鲤": 原来是新入职的干员朋友，幸会。
"乌有": 您好您好，听恩人说，您也是罗德岛的合作方？哎，不愧是罗德岛，广结善缘，深得人心，能结交到您这样的......
"老鲤": 叫我老鲤就好。
"乌有": 鲤兄客气。
"老鲤": 那么，兄弟你刚才说，那位掌柜拉架，你才有机会跑出来？
"乌有": 正是，怎么？
"老鲤": ......嗯......看来事情也没那么简单。
"老船夫": 别站在这聊天了，人多眼杂，要是再出什么岔子，我可担待不起。
"老鲤": 那我们直接去梁府吧。
"老鲤": 这些朋友......
"老船夫": 梁大人只交代了让我接你，带这么多人过去是不是有点......
"老船夫": 唉，算了。
"老船夫": 想来梁大人也不是那么小家子气的人，各位刚才也帮了咱们一把，就一起去吧。
"克洛丝": 梁府啊......其实我们也不该去打搅别人......
"老鲤": 没关系，有我在。
"乌有": 鲤兄这话爽利。
"老船夫": 好......既然决定了，那就快点走，这边，来。
"老鲤": ......！
"乌有": 鲤兄？
"老鲤": 嗯？啊......我马上就来。
"老鲤": ......

"老鲤": 唔......
"奇妙的物件": ......
"奇妙的物件": ......嗷？
"老鲤": 这是什么......尚蜀难道流行这样古怪的宠物吗......？
"奇妙的物件": 嗷！
"乌有": 鲤兄！快跟上！

"老鲤": ......来了，这就来。
"奇妙的物件": ......嗷......



03.IW-2 无寻处



春寒料峭。
让人回想起了不少过去的画面，求学，经商，习武，从政。
那段岁月里，我们似乎形影不离。身边有良师益友，各怀抱负，想大展宏图。
现在呢？
青砖许久未曾打扫，虽然开春已久，仍有残雪，白如玉。
不知道门关着时，门后人在想什么。只知道门开了后，你知道的，就都是那人想让你知道的。
男人抬起头，大门吱呀作响。
"不苟言笑的男子": ......
"老船夫": 梁大人。
"老鲤": ......梁洵，很久没见了。
"梁洵": 很久不见。
"梁洵": 一路辛苦了，鲤。
"老鲤": 千里迢迢，很难说句不辛苦。梁大人好大的排场，就为了让我送个小物件，要我走这么远的路。
"梁洵": 有空我会和你解释的。
"梁洵": 慎师傅，你也辛苦了，早春时分，江上游客挺多的吧？
"老船夫": 哪里，答应了梁大人的事，我自然会优先照顾。
"老船夫": 既然人已带到......我就先回码头了。
"老船夫": 对了。刚才在城里起了些风波，具体的就让鲤小子告诉你吧。
"梁洵": ......风波？
"老船夫": 梁大人，您也要多多注意才是。
"老船夫": 我就先走一步啦，码头那边估计缺人手，我得赶紧回去了。
"梁洵": 嗯，辛苦了。
"老鲤": “从争山渡进入尚蜀，找一位姓慎的船夫。”
"老鲤": 梁大人挺大牌面，只靠这一句话，就打发了我一个初来乍到的外乡人。
"梁洵": 你也不算第一次来尚蜀。
"老鲤": 慎师傅是什么人？
"梁洵": 只是个信得过的码头师傅。一位经验老道的船夫，比什么都可信。
"老鲤": 有理。
"梁洵": 不过这几位是......
"乌有": （我才反应过来，梁大人，说的是尚蜀知府！？）
"克洛丝": （我已经习惯你才反应过来这件事了。这算是个什么概念？）
"乌有": （哦，就是市长！）
"克洛丝": （......可按大炎官职，不该比魏彦吾低多了吗？）
"老鲤": 这二位是我如今的......合作伙伴。
"乌有": 见过梁大人。在下楚......
(震动)
"乌有": 乌有。
