
《32.怀黍离》

01.HS-ST-1 禾下梦
"夕": ......咳。
"夕": 我还是没法想象。靠一副假的躯体“以假乱真”不是难事，但终究只是“乱”。
"夕": 说到底它不过是我们分出来的一小部分......三个人的力量拼凑在一起的产物，而且还不完整。
"夕": 这十二楼五城，要怎么成为我们这些人的容身之处......
"黍": 嗯，或许吧。
"黍": 但在画卷里的时候，我确实感受到了......
"黍": “生命”。
"黍": 兽与厚土行，“我们”原本也是这片大地上生长出的生命。
"黍": ......也许真的行得通呢。

"年": 哎！聊点别的。
"年": 你们不知道朝廷那几个多难缠！说是把十二楼五城暂且借给咱们安个“家”，实际上既要把老天师换回来，又要解决他们另一个麻烦。
"年": 还是炎国人会做生意啊，直接把我们的“家”变成桥头堡了，办一件事，他们要得两份好处。
"年": ......只是没想到，大炎竟然在技术层面又更进一步了。有完没完，他们真的还有必要畏惧“岁”吗？
"夕": 这“家”就算建好了，也是在他们眼皮底下被看着，真不自在。
"夕": 而且，做这件事有多少风险？我自己都没有把握。
"夕": 刚才你们在画卷里，有一瞬间，我想起了三姐那个时候......
"年": ......
"黍": 小墨头也会担心姐姐啦？
(震动)
"夕": 小墨头？！
"黍": 就是以前你，把砚台打翻，正好扣在头上那次，令说你就是——
"夕": 我记不得了。没有的事。
"黍": 好好好。
"年": 啊。我想起来了，后来你蹲在池子旁边洗脸......
"夕": 都说了我不记得。
"年": 从清澈的池子里掬起一抔清水，你洗了脸，水浑了，还能重新掬出一抔清水吗？
"夕": ......
"黍": ......是颉这么问的。她看起来温婉可人，其实比谁都机灵。
"黍": 唉。
"黍": 如果小年的计划真的能成功的话，那真是最好的结果了。
"年": 那当然，还有谁不想让这件事成功呢？
"夕": 臭棋篓子。
"夕": 谁知道他到底想做什么，自从大姐的事情之后，我有时看到墨块都会怀疑是不是他弄出来的什么“分身”。
"夕": 我们为了制造这个容器费了这么多功夫，他竟然随随便便就能把自己分割开吗......
"黍": 何苦呢。
"黍": 他恨人世间种种事物，但最恨自己。可他聪明啊，那么聪明，难道会觉得和大炎你死我活是颉想看见的？
"夕": 谁知道......这么久以来，也就你还愿意搭理他。
"年": 对了。提到聪明人......
"年": 那一位呢？有段时间没听过他的消息了，他不是最黏姐姐你的，吵架了？
"黍": ......
"年": 除了那个臭棋篓子，司岁台最惦记的应该就是他了吧。
"夕": （小声）比起那个臭棋篓子，我更不愿意和那个臭绣花的打交道......
"黍": ......他很久没有回来了。
"年": 是吗？算了。
"年": 不管他也好，我们一家能有三个聚在这里，还是看在那些老家伙都在这坐镇的分上。
"年": 不是说“事不过三”吗，我们天天家庭聚餐，有龙要不高兴了。
"黍": 嗯，时候也不早了，我先去忙了。
"黍": 你们最近也辛苦了，等你们有空的时候，再到我这吃饭，我好好做几道菜招待你们。
"年": 唔，虽然吃不到小个子的手艺，但老姐的手艺也是——
"年": 看我干嘛——呃，我刚才说错话了？
"夕": 你明知道他们俩关系很好。
"年": 我以为那是很久以前的事了。
"夕": 哪壶不开提哪壶。
"年": 家庭关系，是这么沉重的吗......
"夕": 几百年一次的姐妹见面，沉重一点也算正常。
"年": 你知道吗，比起被大哥和令姐念叨，我更害怕看到她刚刚那个样子......
"夕": 在这一点上，我倒是难得和你有共识。
"年": 一脸委屈又一句话不说，想要念叨什么又不忍心的样子......
"年": 这哪里是姐姐，简直像是......
"夕": ......
"年": ......
"夕": 可能......她只是一个人在这里待了太久了吧。

"农业天师学徒": ......这是我种的果树结的最大最圆的两个桃子了。
"农业天师学徒": 神农保佑......能不能按时毕业，就看这一季稻谷了......
"农业天师学徒": 已经是第三个年头了，每次都在最关键的节骨眼上出事......
"农业天师学徒": 前年课题是防虫害，临收获碰上大旱，庄稼全死在试验田里......
"农业天师学徒": 去年的课题是防干旱，收获前又是接连大雨......
"土木天师学徒": 神农保佑......
"土木天师学徒": 戊子号地块今天合并到主城区，千万不要出岔子......
"土木天师学徒": 学生自知学艺不精，回到天师府我一定好好学习继续深造......
"土木天师学徒": 现在只求整个工程顺顺利利结束，我也可以提早回家去。
"农业天师学徒": 欸欸，看清楚，这儿供奉的是神农，你们工地上的凑什么热闹。
"农业天师学徒": 我们种粮是“尽人事听天命”，你们搞工程的也要靠天吃饭？
"土木天师学徒": 你懂什么，所有复杂的学问，研究到最深处都是玄学，是人力不可及的。
"土木天师学徒": 尽人事，听天命，哪行哪业都是一样——神农算这片地最早的主人了，只能指望她显显灵，保佑一下我们这些徒子徒孙......
"农业天师学徒": 唉，说的也对。反正都是到了自己做什么都没用的地步。
"农业天师学徒": 但愿心诚，能换来神农显灵吧......
(震动)
"暴躁的声音": 吵死个人！
(震动)
"农业天师学徒": 哎呀！
"土木天师学徒": 哎哟！
"农业天师学徒": 桃核......？哪掉下来的？
"土木天师学徒": 房梁上？是谁！
"暴躁的声音": 睡个觉都睡不安生，看不到有人在这里午休吗！你们在这里唧唧歪歪什么？！
"暴躁的声音": 扰人清梦罪大恶极！这里是什么地方？神农祠是给你们磕头求祖宗的吗？
(震动)
"暴躁的声音": 都滚滚滚！
"土木天师学徒": 嘿我去......这谁家小孩这么没教养——
"土木天师学徒": 啊！
"土木天师学徒": 欸——你还扔？！好疼！
"农业天师学徒": 啊！......快走！嘿我告诉你，大人不记小人过，别让我再——
"农业天师学徒": 啊！夜路上看到你......！
(震动)
"脾气很差的小孩": 唉......
孩童拿起香案上的两颗果子，端详了一会，挑了一个更大的，用衣袖抹了抹吃了起来。
"脾气很差的小孩": 每次城里碰上些大事小事，你这桌上倒是先丰收了，来你这里肯定饿不着肚子。
"脾气很差的小孩": 喂，老神农，拿你两个果子吃，不介意吧？
"脾气很差的小孩": 哎呀，还是房梁睡着凉快......
"脾气很差的小孩": 我的扇子呢，又被那个小孩拿走了？
"脾气很差的小孩": 烦人鬼，还叫我“大嗓门”，下回得想办法把她的笛子偷过来......
"脾气很差的小孩": 上学上学，上个鸟学，天师府教出来的也不过是这群不争气的学生，上学还有个啥子意思。
"脾气很差的小孩": 唉，逃学可真难啊......！

"年长的职农": 乡长啊......这小无人机到底出了什么毛病？
"沉稳的女性": 你之前换能源装置的时候是不是忘了操作步骤，这有几根线没有接上。
"年长的职农": 不知道啊，兴许是被谁家小孩偷偷拿去玩“斗羽兽”了......下次被我逮到，看我不揍他们。
"沉稳的女性": 它摔下来的时候有没有砸到你？
"年长的职农": 磕到角上了，差点没砸到脑袋。
"年长的职农": 平时见您就是和大家一起干农活，没想到您还懂源石电路。
"沉稳的女性": 天师给大家上课的时候不都教过怎么用，这是个精密物件，用起来得注意点。
"沉稳的女性": 这个小东西也不叫无人机，天师管这个叫“天桩”。
"年长的职农": 第一次见这玩意往田里飞的时候，铺天盖地的，差点以为是蝗灾，吓一跳。
"年长的职农": 就这些小玩意，一个个地插到地里，这地里的情况，庄稼的长势，就全能知道了？
"沉稳的女性": 我们在这琢磨种庄稼，天师们也在琢磨怎么帮我们。现在有这些新发明，种地比过去方便多了。
"沉稳的女性": 这季收成......
"年长的职农": 今年天气不如意，每块田里产出都不好。眼前这季试验稻，天师们起代号叫“千钟”的，估摸着也就亩产两千来斤吧。
"年长的职农": 够吃是够吃，离天师们预想的研究结果还差得远呐。
"沉稳的女性": 慢慢来吧。一年能收两季的庄稼，放过去，哪敢想呀。
远处，庞大的机械托举着一整块田地缓缓升起，巨大的声响惊起了一群羽兽。
田间的农人似是已经对这样的景象司空见惯，抬眼瞧了瞧，又专注于手上的农活。
"年长的职农": 大荒城改造的工程动起来，外面进来了不少大人物，您也变成大忙人了。
"年长的职农": 好几天没见到您的人影了，今天怎么有空来地里？
"沉稳的女性": 夏收就要开始了，每块地的状态都得自己看过才能知道，人才能安排得下去。
"沉稳的女性": 还有最近操办祭祀典礼的事，都要认真筹备，马虎不得。
"年长的职农": 您是大荒城管事的，从您到这里上任，这么多年上下多少事都得您操心，多劳累。
"年长的职农": 您官职到底是叫什么来着......大荒城，同知？哎，太拗口，还是喊您老乡长了。
"老乡长": 什么官不官的，都是和大伙一起种地。
"年长的职农": 我打出生就在这了，也没去过外面。听说外面有些移动城市里，庄稼都是种在高楼大厦里的？
"年长的职农": 您是从外面进来的，那外面的城市，是什么模样？
"老乡长": 那都是多少年前的事了，我也记不清了。
"老乡长": 只记得有些小乡村里的人收到信使送去的大荒城培育出的种子，笑着说今年的收成说不定能多一点。
"老乡长": ......只求不遇上天灾。
"年长的职农": 种在地里的种子能研究明白，头顶这片天可研究不明白啊。
"年长的职农": 就算天灾没有直击田地，水源也会被源石污染，泥土里全是细小的源石结晶......
"年长的职农": 唉。光是能在富源石环境里开垦的设备，就不便宜咯。
"老乡长": 所以我们才在这里。
"老乡长": 看，修好了。

围堤拢起这片土地上时而枯涸时而泛滥的沟壑。
在高出地面百米有余的水道之间，种植地块执手相望。
而这座仍在“成长”中的移动城市——
对耕耘于此的新一代大荒人而言，这将是由他们亲手开辟的新天地。
"年长的职农": 这工程，也是够吓人的。
"老乡长": 忍过这半年吧，等土地都搬到地块上就好了。
"年长的职农": 人倒还好，就是养的牧兽被吓得不轻。这几个月粮草都没怎么吃，看上去都瘦了不少。
"年长的职农": 看这田一天天地升起来，总觉得还是有点心慌。
"老乡长": 田地搬到移动地块上，好处多着呢。
"老乡长": 用电用水更容易了不说，再遇上大一点的天灾，也不用天师们豁了命来顶，整片田开走就好了。
"年长的职农": 在这普普通通的田里都祖祖辈辈种了多少年了，怎么官家突然想起来要翻修我们这边的田地了？
"老乡长": 粮食种得好种得多，更多人吃饱肚子，才有力气建城市。
"年长的职农": 简直就跟变戏法似的，出了趟远门的人，回来怕都要不认识家了。
"年长的职农": 可要是神农知道，我们把这田都搬走了，她老人家该怎么想？
"老乡长": 土地只是变了副模样，家又不会走。
"老乡长": 要是神农真的看到眼前这幅景象，估计笑得嘴都合不拢啦。

"老乡长": 最早的时候，她来到这片地方，还只是想着从天寒地冻的荒原上多抢几亩田地。
"老乡长": 后来田地变多了，她种地的点子也变多了，想把粮食种到源石污染的土地里去，甚至种到源石里去。
"年长的职农": 哪有这么荒唐的事......你说这神农，到底是聪明，还是笨啊。
"老乡长": 不聪明，也不笨。就是个痴人罢了。

"顽皮的少女": 大——水——牛——
"顽皮的少女": 笨——水——牛——
"顽皮的少女": 你到底陪不陪我去找“绵绵”？
"质朴的少年": 不去。
"顽皮的少女": 你真没良心！绵绵明明最喜欢你，别人喂他零食他都不好好吃的！
"质朴的少年": 你是说它把我花圃里养的半枫荷全都吃光的事？
"顽皮的少女": ......谁让你自己不围篱笆的。
"质朴的少年": 那是为了别人用的时候采摘方便，谁能想到你会拿去喂牧兽。
"质朴的少年": 还好只是几朵花，你忘了之前牧兽吃了老师的试验田那次，老师是怎么说你的？
"顽皮的少女": （扮鬼脸）
"质朴的少年": 再说了，牧兽身上都有定位器，已经显示了它就在这一片，你自己再仔细找找不就行了？
"顽皮的少女": 嗯......也对。
"顽皮的少女": 那你陪我去果林摘点果子好了，趁它们还没长熟，味道还是又酸又苦的，要赶紧摘一点，我有很重要的用途！
"质朴的少年": 不去。
"质朴的少年": 今天还要去田里采样，夏收前的最后一次数据记录很关键，不能耽误。
"顽皮的少女": 真无聊......
"顽皮的少女": 可是说真的，最近大家看起来都不太对劲，不好好吃饭，觉都睡不好。
"质朴的少年": 你不是说会和它们讲话嘛，多劝劝它们好好吃饭不就好了？
"顽皮的少女": 我和他们聊过了，他们告诉我，大荒城最近有些很可怕的东西混进来了！
"质朴的少年": 你是说，那些新建起来的移动地块？
"顽皮的少女": 你是不是笨，牧兽只是会和我说话，又不是和人一样聪明，他们哪里知道是什么东西。
"质朴的少年": 我也不是很聪明，我只知道现在田地里的工作最重要。
"顽皮的少女": 为什么不能偷偷懒，把活派给那个新来的人？反正就是把田里的天桩挨个抽出来记数字的事，谁干不都一样？
"质朴的少年": 他懂什么......他刚来的时候连小麦和高粱都分不清楚，他做完的事情我还要再做一遍，不知道老师为什么会让我来教他......
"顽皮的少女": 可是他跑得快，说不定能帮我找到绵绵——
"顽皮的少女": 对了，我去找他帮忙！
"质朴的少年": 什......？他......老师让他过来就是专门来耕地的，他不能......
"质朴的少年": 咳......还是我陪你去吧，等等——
"顽皮的少女": 喂——新来的——！别瞎忙活了，来帮我找牧兽吧！

夏天阳光热烈，阵阵蝉鸣。水田里，少年笨拙地收割着水稻，豆大的汗珠不断从脸上滚落。
胳膊肌肉结实，却不知如何使力，镰刀对纤细的稻秆像是无可奈何，好半天才能割下一把稻子。
原本穿在身上的官服挂在一旁的桩柱上，几只想来啄食稻谷的羽兽反而对这身从未见过的衣服产生了兴趣，冲着飘落的衣带伸出嘴。
"左乐": 呼——
"左乐": 怎么已经中午了......
"左乐": 还有这么多啊......



02.HS-1 赴大荒



(灰幕)
三个月前
"惊奇的职农": 什么......？！手上这条断了的是人纹不是地纹，意思是我不会有什么大病大灾，其实是脑子出了问题？
"快乐的职农": 哈哈哈哈，都说了那棵核桃树就是给你种的，赶快去施肥吧，迟了可不好了！
"黍": 也不是这么说，这道断纹只是代表着你大概在二十出头的年纪，会遇到一个很困难的抉择。
"黍": 可是哪有十全十美的出路呢，顺其自然吧。你看，之后的纹路不就平整多了？
"惊奇的职农": 准！真准！
"惊奇的职农": 我二十三岁的时候，老家的农田被天灾毁了，当时我实在不知道去移动城市能讨到什么生计。
"惊奇的职农": 现在跟着大伙来到大荒城研究庄稼，干回老本行了，不也活得挺好的？
"快乐的职农": 还有这种事......
"黍": 哪有人真的能预测命数呢，不过是给发生的事找个理由罢了。
"惊奇的职农": 之前只知道天师府的天师神通广大，没想到还懂得这么多......
"惊奇的职农": 黍姑娘，您这么年轻就已经是这里天师府的资深授业天师了？
"黍": 闻道有先后，只是先学到了一些知识，再把它转述给更多人罢了。
"快乐的职农": 了不起，了不起，不过......
"快乐的职农": 黍姑娘，我看那边有个年轻小伙子盯着你看半天了......是你的熟人？
"黍": 嗯......
"黍": 是位贵客。抱歉，我们改天再聊吧。
"左乐": 大炎司岁台秉烛人，左乐，奉命前来监管大荒城建设以及岁兽相关事务。
"左乐": 我不会限制黍小姐的日常活动，但希望黍小姐近日不要离开大荒城。
"左乐": 还请黍小姐配合。
"黍": 哦，之前听说要新来一位秉烛人，原来就是你呀。
"左乐": 是。
"左乐": 只是司岁台例行的检查，并不会妨碍黍小姐的农业研究，黍小姐只要专心原本的事务，不必担——
"黍": 怎么看上去这么年轻，今年成年了吗？
"左乐": ......什么？
"黍": 这儿地方偏远，来的路上还顺利吗？有没有遇到歹徒刁难？
"左乐": 我还不至于被几个剪径贼难为住。
"左乐": 以及，关于此处十二楼五城的修建，司岁台支持各位与炎国工部共同施行、合作共赢，希望各位能够与诸位天师友好相处，少生事端。
"左乐": 除此之外，还有一些事情需要......
"黍": 对了，平时活动的话，这里田间可以随便走，小心别踩到庄稼就行，但要是去工厂那边恐怕还是要提前和天师他们打招呼。
"左乐": 黍小姐......工作范围，我还是清楚的。我还有......
"黍": 上一个秉烛人在这里住过的屋子是那一间，平时生活用的物件已经换过新的，你可以直接用。
"左乐": 我......
"黍": 嗯，就是这些了，你还有什么问题吗？
"左乐": 没......没有了。
"黍": 好，田间要忙的事还有不少，我就不多招呼你啦。
"黍": 要是还遇到什么困难，开口和周围乡亲打招呼就行，这里的人都好客，不会让你为难的。
"左乐": ......

"顽皮的少女": 喂！
"左乐": ......
"顽皮的少女": 喂！
"左乐": 不好意思，这位姑娘，我有公务——
"顽皮的少女": 喏。
"左乐": 饭盒？这是什么意思？
"顽皮的少女": 饿了吧。
"顽皮的少女": 你在这一动不动站了一整天，看上去呆呆的，都不知道自己找饭吃，像个稻草人！
"左乐": 多......多谢。
"顽皮的少女": 好吃吗？
"左乐": 非常可口......
(震动)
"顽皮的少女": 我说，你就准备白吃吗？
"左乐": 咳咳咳咳......！
"黍": 小满，这位是客人，不能这么没礼貌。
"小满": 可这不是黍姐姐说的嘛？住在大荒城的每一个人，都是和庄稼打了交道，流了汗才能吃饭。
"小满": 这个人奇奇怪怪，说是有公务，但是不种田也不去造房子，不知道来干什么。
"黍": 这位先生，有他自己的工作的。
"小满": 就在这干瞪眼？
"黍": 就在这干瞪眼。
"左乐": ......咳。
"左乐": 不知有什么......我能帮得上忙的？
"黍": 我想想......
"黍": 插秧机，你会操作吗？
"左乐": 不会......
"黍": 也是，你平时的工作应该也不会和这些农具打交道。
"黍": 这个小方块，叫六相仪，只要用这个控制天桩插到田里对应的位置，就能分区块监测农田情况——你会用吗？
"左乐": 我也没有了解过......
"黍": 那给牧兽喂草料......
"左乐": ......
"小满": 噗——
"黍": 如果你要在这里留一段时间的话，不如就趁这段时间试着做些农活？
"黍": 不如，先学着把试验田里那些没处理的野草都锄干净吧？
"农业天师学徒": 老师您在吗，我这里——
"黍": 小禾，来得正好。
"黍": 这位......
"黍": 是我在京城的远房表弟，这段时间在大荒城休息。
"黍": 这位就是我的学生禾生，他可以来教你。
"禾生": 啊......？
"左乐": ......啊？

(灰幕结束)
"禾生": 定位器显示牧兽就在这一片吗？
"小满": 嗯！我吹这个羽兽笛，绵绵就知道我在找他，就会出来了。
"左乐": 定位器是......？
"禾生": 大荒城每头牧兽身上都会有，虽然不能精准定位，但能看到大概位置。
"左乐": 大荒城上万头牧兽，每头都有？
"禾生": 之前发生过不少牧兽走丢的事情，师兄们养的课题经常被外面的异性吸引走——
"禾生": ......
"左乐": ......抱歉，确实没怎么接触过这些东西。
"禾生": 你既然是老师的远房亲戚，为什么会去当兵？
"左乐": 不足为外人道也。
"禾生": 家里当官的？
"左乐": ......怎么这么问？
"禾生": 你讲话的方式。还有那股精气神。
"禾生": 我们这儿的同龄人很少有这样的，有也是高干子弟。
"左乐": 我无意冒犯......
"禾生": 也没说你冒犯到谁了。
"小满": 奇怪，为什么不出来呢......？
"小满": 绵绵前几天和小辫儿吵架了，难道是因为这个他才走的吗？
"禾生": 难道又是被外面的母兽吸引走了？
"小满": 什么？
"小满": 可他是喜欢小辫儿的！每天我带他们去泥塘里滚泥，他们两个都要在一块的。
"小满": 这可不行，小烛台！
"左乐": 小、小烛台......？
"小满": 我给你画下他的样子，你看一看记下来，我们分头去找！
"左乐": 嗯......小满姑娘笔力深厚，令人一目了然......
"禾生": ......你认真的？我知道绵绵都认不出，你能认得出？
"小满": 不就是四条腿，身上长花斑，哪里看不出？
"小满": 小烛台，你在外面见过牧兽吗？
"左乐": 很少见到......
"小满": 没关系，你没见过牧兽，我也没见过移动城市，大家都有没见过的东西。
"左乐": 你从来没去过外面——其他的城市吗？
"小满": 没去过，但听小禾说过不少。
"小满": 这里种的稻谷每年都会送往外面，他们还在研究新种子，就是要让外面的人都吃饱。
"左乐": ......
"禾生": 以后有的是机会。
"小满": 不着急，我本来就更喜欢这里。
"小满": 啊！正好，你闻——
"左乐": ......酒香？
"小满": 我最喜欢吃稻米甜酒酿！你看那边有蒸汽的地方就是酿酒的厂子，咱们待会儿可以顺路去那里看看！
"左乐": 原来这里还有酒厂。
"禾生": 每季收获，我们都会专门留一些稻谷酿酒，最陈的那一坛好像已经有了百多年的历史。
"禾生": ......你喝过酒吗？
"左乐": 曾经喝过一点......是执行任务时遇到的老乡给的玉米叶子酒。又辣又呛。
"左乐": 他让我们喝了暖暖身子，但我们没想到是这种酒。他说饭都不够吃，哪还有多余的粮食做酒。
"禾生": ......在外面，还是会有人吃不饱吗？
"左乐": ......
"左乐": 这片土地太宽广了......不同地方，差异很大。
"禾生": ......
"左乐": 听到了......是在那边吗？
(震动)
"小满": 哇，小烛台，你飞得好高......
"小满": 肯定能很快找到绵绵！
"禾生": 咱们的无人机能飞得更高，还有定位功能。
"禾生": 犯不着这么——
"禾生": 等等，那边......
"小满": 怎么在着火？！

"工部侍郎": 三个月？
"资深土木天师": 三个月。这项工程不是儿戏，我们需要时间来确保每一个环节都不出问题，三个月能做完就已经是谢天谢地了。
"资深土木天师": “十二楼五城”，这几个字可不是简单的诗歌摘抄。你知道这些......“原型”在大炎历代天师心里躺了多久。
"工部侍郎": 自然。我也知道，万事开头难。
"工部侍郎": 在下虽然是行政官员，但好歹也是天师府的学生。源石技艺当然不如各位精湛，但不是每天只坐在桌子后面盯着自己的天师仪喝茶水的。
"工部侍郎": 三个月，当年大雪纷飞的炎北地区，我们也花了三个月。
"工部侍郎": 诸位天师好好考虑过再给我一个回复。大荒城核心区最后两个地块的组装工作，还要多少时间？
"资深土木天师": ......
"资深土木天师": 要是能源物资补给充足的话，大概一月出头......
"工部侍郎": 源石能源的事不用担心，补给的物资我已经反复督促了。各位天师只管赶上工程进度。
"工部侍郎": 天高地远，且不说建城，物资的运输都是一项大工程，我们这里多耽搁一天，耗费的资源财力都是大数字。
"工部侍郎": 就算是为了体恤年年纳税的百姓，也容不得我们懈怠。
"工部侍郎": 现在是六月，希望中秋节时，各位都已经回到家中和亲人团聚了。
"工部侍郎": 唉。
"工部侍郎": 哪里都逃不掉遍地羽毛的事，宁小姐见笑了。
"宁辞秋": “三个月”“炎北地区”，说的是那年的丹燕城。
"宁辞秋": 大雪封城，朝廷已经决定要停工等待，可等信使到了那儿，却发现领头的天师以一座地块为刀......
"宁辞秋": ......撞开了冰封的源石晶层，救下了数万被困在严冬里的村镇百姓。
"宁辞秋": 这段故事如今都被写进了教科书里，万侍郎事后也因此平步青云，刚才的说辞还真是谦虚了。
"工部侍郎": 呵，您误会了。我也不过是个从底层一步一步爬上来的土木天师，哪敢摆什么架子呢？
"工部侍郎": 只是唯有提起这茬，这些辛劳的天师才愿意放下怨气，听我多说几句。
"宁辞秋": 看来万侍郎有十足把握，十二楼五城的进度不会有什么问题。
"万侍郎": 唉，就算我有信心，各项事宜，还是有点太仓促了。
"万侍郎": 我就是再小心，也难免有疏漏，到时候还要麻烦宁侍郎了。
"宁辞秋": 分内之职。
"万侍郎": ......宁小姐初到大荒城不久，对这里环境还不太熟悉吧。
"万侍郎": 虽然地处边境，比不上内地繁华，但物产丰富，尤其是作物做出的各色小吃，又风趣，又落胃。
"万侍郎": 比如，我想想，宁小姐吃过城内的“五豆粥”吗？
"宁辞秋": 很遗憾，还没有。
"万侍郎": 大荒城的五豆粥与其他地方不大一样，算是特色了。多用新品种的五豆，即红豆、黑豆、绿豆、黄豆和白芸豆熬煮。
"万侍郎": 不过，虽然五豆相得益彰，但大荒城的五豆粥之所以是一绝，还是靠着这里独一无二的......稻米。
"万侍郎": 大荒城稻米香甜，风味浓郁，才能成为这一碗佳肴的基底，才能让平平无奇的五豆粥成为大荒城饮食文化的象征。
"万侍郎": 看似五豆一米，各成滋味，但说到底，成在稻米。所以烹饪起来，也不是一锅乱煮就了事了，有些讲究的。
"万侍郎": 诀窍在于火候。不能让其余五豆喧宾夺主，要是失去了稻香底色，那这碗粥，就变回无味寡淡平平无奇的杂粮粥了。
"宁辞秋": ......
"万侍郎": 宁小姐有空，一定得尝尝。
"宁辞秋": 一定。
"万侍郎": 对了，宁尚书最近身体还好吗？
"宁辞秋": 祖父年纪大了，没病是福。
"万侍郎": 老人家，还是要保重身体。不如下次回百灶述职时，为老尚书带些薄礼？
"宁辞秋": 万侍郎有这份心意就行。
"万侍郎": 既然大荒城与岁兽有关，那我也少不了和司岁台、礼部打交道。
"万侍郎": 我过去就对宁尚书过往的壮举钦佩不已，可惜岁月不饶人......时至今日，宁尚书还是少操劳些具体事的好。
"宁辞秋": 要是有人觉得我出现在大荒城属于多管闲事，我可以立刻去信一封，递交太傅。
"万侍郎": 您又误会了，我只是想说，宁小姐年纪轻轻就能胜任侍郎一职，是宁家的幸事，是宁尚书教导有方——
"宁辞秋": 万侍郎。
"万侍郎": 嗯？
"宁辞秋": 要是您只是想说，“毫无实绩的宁辞秋不配和丹燕城的传奇天师共事”，那我不否认。
"宁辞秋": 只是你我同事一场，以后，还希望您打开天窗说亮话。
"宁辞秋": 不要弯弯绕绕自以为聪明。真聪明的人，比你讨喜得多。
"宁辞秋": 告辞。

"农业天师学徒": 快，水桶，水桶！还好火刚烧起来，还是在河边......！
"禾生": 你为什么会在林子边上生火？！
"左乐": 烧山可是重罪！
"农业天师学徒": 我没有要烧山！是师姐！她的课题是只羽兽，那羽兽吃了我的课题！
"农业天师学徒": ......只给我的课题那片地上留下了一颗蛋，我要烤了这颗蛋......泄愤！
"农业天师学徒": 不，不是泄愤，我只是要烤了这颗蛋纪念我逝去的课题！呜......
"小满": 别废话了！快快快，火要烧到后面去了！快把火苗踩灭！
"农业天师学徒": 给你锄头，趁风不大，快清出隔离带来！
"左乐": 我去清开后面的植物，不能让火烧到后面去！

"禾生": 呼......
"小满": 哈......
"农业天师学徒": 啊......
