
《21.理想城：长夏狂欢季》

01.IC-ST-1 旅行前夕
"斯第奇·画布": 算了，毕竟是一帮为了尾巴粗细就能吵起架来的奇怪家伙......我应当尊重这种文化差异。
"特米米": 欸、欸......
"尤塔": 好，斯第奇，你有什么事吗？我们正在规划萨尔贡的宏伟“蓝秃”。
"尤吉": 蓝图。
"尤塔": 喔，对。蓝图，你听见了吗，杜林人。这可真是个伟大计划！
"特米米": 我觉得......一座夸张的大坟墓应该不算什么伟大计划......而且如果大家都有那么大的坟墓，这座雨林就装不下啦。
"尤塔": 别总是当做坟墓，就是纪念，纪念性质！
"尤塔": 建造得大一点，我也可以和族长和嘉维尔放在一起吧，后世会抱着孩子们在我们几人的雕像前讲述祖玛玛与“嘉维尔意志”的美谈......
"斯第奇·画布": （我开始怀疑我的决定了......）
"特米米": ......！但、但是......
"斯第奇·画布": 是的，眼下我们不该——
"特米米": ——但是这样就不能叫“尤吉尤塔塔”了！嘉维尔必须出现在名字里！我、我也可以顺便......！
"斯第奇·画布": ......
"特米米": 啊，不是......是这样，依娜姆和斯第奇先生好好聊过了，我打算让大家都听听他说的事情。
"特米米": 毕竟事关重大，我也留了给嘉维尔的信，不知道她们能不能赶到......
"尤塔": 事？什么事？我可是在给自己所剩无几的人生规划结尾！难道还能比这件事更重要吗？
"斯第奇·画布": ......咳。我无意对各位地上人的奇思妙想发表意见，只是......
"斯第奇·画布": 就像我之前说的那样，如果我们的城市真的遭遇了危机，灾难会摧毁一切。
"斯第奇·画布": 到时候，再宏伟的奇观，也不过只是一堆瓦砾罢了吧。

"嘉维尔": 喂，祖玛玛。
"森蚺": ......嘉维尔啊，我们居然是同时回来的。
"森蚺": 怎么样？那些感染者安稳下来了吗？
"嘉维尔": 你以为我是谁？不光那些感染者，矿场的保安、附近的农民，包括那个雷姆必拓的老东西，我全都摆平了。
"森蚺": 老东西......你把合伙人一起摆平了？
"嘉维尔": 嗯，他对待感染者的方式也有些小问题，我自然要和蔼地从医生的角度提些意见。“从医生的角度，用嘉维尔的方式”。
"嘉维尔": 不提这些了，你看见信了吗？
"森蚺": 我还没回宿舍......特米米的信？我记得她回家探亲了来着。
"嘉维尔": 在这之前她也一直通过依娜姆和阿卡胡拉的朋友们联系着呢。
"嘉维尔": 不过，在她出发的时候，似乎本来是打算叫上我们一起的。
"森蚺": 一起吗......可露希尔师父没给我安排什么工作的话，回去看看也不错。
"森蚺": 不过，如果只是这种事情，嘉维尔你是不会来找我的吧。
"嘉维尔": 干嘛，我们平时有很生分吗？
"森蚺": ......算了。所以，依娜姆说了什么？特米米遇上麻烦了？
"嘉维尔": 嗯，准确来说，是整片雨林都遇上麻烦了。
"森蚺": 什么？
"嘉维尔": 准备一下吧，我们可是有一场大冒险了。

"尤塔": 整、整片雨林会沉入地下？！地貌会发生剧烈变化？！
"斯第奇·画布": 是的。
"斯第奇·画布": 杜林族的城市结构......说了你们也不明白。总之，这片雨林不远处的地底，就是我所在的城市。
"斯第奇·画布": 现在我们遇上了点麻烦......所以我才向地上人求助。
"斯第奇·画布": 本来我对你们是不抱太大希望的，但我看到了你们在做的事情。也许你们能帮上忙。
"尤塔": 听上去是大问题啊......但是和我们部族没什么关系吧？
"尤吉": 可是，按照这个家伙说的，如果那座杜林城市毁灭了，造成的连锁反应一定会影响到地上......那我们的尤吉尤塔塔......
"斯第奇·画布": 反过来说，如果你们帮了我们，凭借杜林人的科技，也许我们可以回报你们。
"斯第奇·画布": 我是不知道你们的科学发展轨迹......不过看得出，你们偶尔也原始得离谱。
"尤塔": 帮忙？外族人吗？这我可说不准......
"斯第奇·画布": 啧，要说外族......地上人不也是......没什么。
"特米米": 可是，斯第奇先生指点改造“丛林三号”时确实一针见血地找到了问题，虽说好像削减了大量的功能......
"尤塔": 靠他？！
"特米米": 是的，所以依娜姆出于各种考虑......决定陪斯第奇先生下去看看。我、我当然也会跟着，作为“嘉维尔意志”的族长。
"特米米": 这段时间，就得靠你们照顾提亚卡乌的大家啦。
"尤塔": 这倒是没问题......不如说，为了我们的尤......不对，是“伟大阿卡胡拉赤金源石翡翠伟大三角塔”，你们可一定要顺利解决问题啊！
"斯第奇·画布": ......伟大用了两次。
"特米米": 我们会的。
"尤塔": 不过，你们要怎么去那里......我们连离开这片丛林的次数都不多吧，真不会迷路吗？
"？？？": 不会！
"极境": 因为有我在。
"特米米": 极、极境先生！
"尤吉": 你是那个罗德岛的......
"极境": 强韧如我也不得不靠假期旅行来排解作战时积攒的压力，结果却卷入了另一场拯救杜林人大作战......算了，好像挺有趣的。
"极境": 至少迪伦和煌都没说错，这是个既能不让自己闲下来，又能稍微放松一下的好地方。
"极境": 只不过传言中那种美味的蘑菇，我可是翻遍了丛林都没找到啊......
"极境": 希望依娜姆小姐可以信守承诺，到时候帮我完成“来到阿卡胡拉必须完成的七件事”吧。
"特米米": 极境先生已经和斯第奇先生初步交流过了，有他们二位做向导，我们是不会迷路的......他们这么保证的。
"极境": 哈哈，恐怕等不到嘉维尔和森蚺回家，我们就能把事情全部摆平啦。

"森蚺": ......
"森蚺": 明明以前性子最急的是她，现在我却要在走廊上等她半个小时吗......
"森蚺": 这套新装备......我还以为嘉维尔每个月都会提一次这样的申请，从可露希尔师父的反应来看，并非如此啊。
"森蚺": 这是不打算再以“逃离部族学医”的身份回去的意思吗。
"森蚺": ......
"森蚺": 但是这也太久了！嘉维尔，你到底在做什么？！
"嘉维尔": 别催啦！你们整的这套装备为什么这么复杂？！
"森蚺": 处理紧急订单的极限就是如此了，要抱怨的话，下次老老实实从工程部那里走流程。
"嘉维尔": 好——麻烦！卡西米尔的骑士都不会穿这么多碍事的盔甲！！
"森蚺": 算了，你有什么不明白的地方——

(震动)
"嘉维尔": 不管了！就这样吧，剩下的都不要了！
"森蚺": 啊？！
"嘉维尔": 那些剩下的乱七八糟的玩意我全都丢在里面啦，不需要。当我握上这把斧子的时候就已经全明白了。
"森蚺": ......明白什么？
"嘉维尔": 我有这家伙就够了。
"嘉维尔": 你做的？
"森蚺": 处理紧急订单。
"嘉维尔": 果然，这么棒的家伙只有你做得出来。从平衡性到重量都无可挑剔。
"嘉维尔": 不过这个小挂饰......
"森蚺": 大姐说过，要对自己经手的东西倾注感情，无论是病人还是装备。
"嘉维尔": Lancet-2还会说这种话啊，大概是可露希尔教的，随便你们吧。
"嘉维尔": 那么，我们出发！
"森蚺": ......嘉维尔！
"嘉维尔": 干嘛，这次轮到你磨叽了？
"森蚺": 你打算......怎么做？特米米收到了杜林人的求援，听上去是一次关乎他们城市的危机。
"森蚺": 也许是天灾......或者是战争。
"嘉维尔": 虽然信里描述的“火焰从天上掉下来把所有人的被子都烧掉”和“巨大的蘑菇撑破地面遮天蔽日导致植物无法生长”都太抽象了......
"嘉维尔": 不过不管是什么麻烦，我们都有办法解决吧。不是还有依娜姆和极境吗？
"森蚺": 怎么解决？
"嘉维尔": 你不是才把答案送我吗？看看这身行头，祖玛玛，说真的，我现在久违地有些亢奋。
"森蚺": 那就是，拳头说了算。
"嘉维尔": 哈，老样子！
"森蚺": ......老样子啊......
"嘉维尔": 时间不等人，祖玛玛。
"嘉维尔": 难道不想看一眼你族里那些家伙，把丛林变成了什么样吗？
"森蚺": ......呵呵，说得对。
"森蚺": 出发吧。



02.IC-1 沉浸式游览



"极境": 这可真够危险的，小朋友，你是不是根本不记得你来时的路？
"斯第奇·画布": 我不是小朋友！
"斯第奇·画布": 我只是，呃，有点不确定......
"极境": 要不是有我这个行家里手带路，你这个小朋友怎么应付得来这么危险的洞窟？就算是我，都感觉到了一丝丝的勉强。
"极境": 我说，要不然我们干脆趁机扎营休息一下，眯一觉？你们谁要是不擅长搭帐篷我可以帮忙。
"依娜姆": 你认真的？在眼下这个情况下？
"极境": 空气流动畅通，区域开阔，遮风避雨，温度也算合适，而且还很黑，连戴眼罩都免了。
"特米米": 唔......极境先生说得有道理！可是罗德岛的这种外勤帐篷我不是很熟悉......
"极境": 没问题，我教你，你这种型号很简单的，展开就能用，之后只要把几个锁扣固定住......
"特米米": 哇！真的欸！好方便！
"极境": 后勤部门当初设计这种帐篷的时候，可是专门咨询过我这个野外专家的意见！
"极境": 我大方地同意了他们可以用我的名字给这个系列命名，也不知道为什么最后没有采用......
"极境": 唔，或许是他们觉得这帐篷还有改进的空间，暂时不值得冠上本专家的名字？真是见外，这点小瑕疵我是不会在意的啦！
"依娜姆": 特米米，一直听说你在罗德岛过得不错，我还挺高兴的，不过现在我开始怀疑了......
"依娜姆": 你们罗德岛的人会在升降梯里搭帐篷睡觉吗？
"特米米": 呃，主要是极境先生比较特殊......
"斯第奇·画布": 我再说一遍，这不是普通的升降梯，这是我们杜林人自豪的超方便大升降梯一号！
"极境": 嗯，很便于搭帐篷。
"斯第奇·画布": 你！
"依娜姆": 好了好了，斯第奇，极境，你俩别闹了。还有多久才能到你说的地下城市？
"极境": 是啊，小朋友，这升降梯都坐了快半个小时了。
"斯第奇·画布": 我不是......唉，不得不怀疑，我在部族里听到的那些有关嘉维尔的离谱事迹，你们也都是参与者？
"极境": 当然了！那家伙经常揍我！
"斯第奇·画布": ......要不然你们还是回去吧。
"极境": 也不算经常吧，不过三周左右被揍一次还是......
"特米米": 停！！极境先生只是嘉维尔的普通同事而已，但......
"特米米": 我可是嘉维尔最在乎的伙伴，阿卡胡拉最强部落“嘉维尔意志”的族长呢！
"依娜姆": 后半句勉强算是真的。
"斯第奇·画布": ......哈哈，谢谢你们慷慨无私的帮助，这座城市会热情地招待你们。
"斯第奇·画布": （小声）但愿你们那些丑死人的轨道机械能派上用场......
"依娜姆": 斯第奇，你说什么？
"斯第奇·画布": 不，没什么，我说，我们快到了。

"斯第奇·画布": 各位，欢迎来到际崖城。

"斯第奇·画布": 探访杜林人城市的机会对于你们地上人来说可不多，更别说是这么一座优美......
"极境": 喂喂喂那是什么？！
"依娜姆": 大瀑布？
"特米米": 是......是大滑梯！！！
"斯第奇·画布": 不，那不是重点，你们就不能关注一下远处那座带花园的，优美而简约的......
"依娜姆": 杜林人的城市居然是这样的？我还以为会，呃，更......通俗一点儿？
"依娜姆": 神秘的地下宫殿之类的，杂志里是这么写的。
"斯第奇·画布": 实际上，际崖城在杜林城市之中也足够特殊，因为这是一座由像我这样的传奇设计师们建立的城市。
"斯第奇·画布": 我的前辈们来到这里，是为了创造一座美与和谐的城市，他们理念的继承者，就是那座优美！而简约！的......
"极境": 超级旋转滑梯！！！
"极境": 迪伦跟我说阿卡胡拉很好玩，看他一脸坏笑，我还以为那小子骗我，原来是真的啊！！
"特米米": 哦哦哦好想去看好想去看！下次一定要带嘉维尔也过来玩！
"依娜姆": 不知道这些传说中的杜林人，对做生意有没有兴趣呢？
"斯第奇·画布": 你们的脑瓜真的明白什么叫简约吗？！我的作品在那堆大破烂面前真的就那么不起眼？！
"斯第奇·画布": 算了......我大概真的找错人了。

"嘉维尔": 呼，应该就是这附近没错。
"森蚺": 我只是听部族里的老人提起过阿卡胡拉地下有一大片洞窟，没想到竟然这么复杂。
"嘉维尔": 看来特米米她们说的果然是真的。
"嘉维尔": 如果真的发生了最坏的状况，恐怕不只是我们提亚卡乌，整个地区的人都会受到影响。
"大祭司": 也没那么严重啦。
"森蚺": 大祭司！你怎么在这儿？
"大祭司": 当然是感觉到你俩遇到了麻烦，就过来看看啦。我可是无所不能的大祭司。
"嘉维尔": 那，老爷子，我们应该怎么前往那个传说中的地下城市？
"大祭司": 别那么着急，小丫头们，深入地下洞窟的机会可不多哦，不如好好欣赏一番周围的景色。
"大祭司": 瞧瞧这些荧光植物，告诉你们一个秘密，把这些东西磨成粉，撒在烤鳞肉上面的话，那滋味没的说。
"大祭司": 还有这些藤蔓上的小果子......
"森蚺": 大祭司，我们赶时间！
"大祭司": 好好，我知道了。那条比较安全的路怎么走来着？我记得是先左拐再右拐，再右拐再左拐？
"大祭司": 然后再连续四个左转弯？
"嘉维尔": 那就回到原地了。
"大祭司": 是吗？真奇怪。
"大祭司": 让我再回忆回忆，呃，这些地下洞窟九曲十八弯的，可难记了！难道是右拐再上坡？还是下坡来着？
"嘉维尔": 那比较危险的路怎么走？
"大祭司": 你啊，和小时候一样，还是那么急性子。
"大祭司": 的确有一条有那么点危险，但足够快速的路。
"大祭司": 看到那条地下河了吗？跳下去。
"森蚺": 认真的？
"大祭司": 以你们两个的身板来看，应该不会出什么大问题。但......
"嘉维尔": 那，祖玛玛，做好准备，深呼吸——
"森蚺": 走！
"大祭司": 但我还是建议你们慢慢跟我来，事情其实......嗯？人呢？

"斯第奇·画布": 总之，这就是际崖城，我们杜林人的城市。
"依娜姆": 阿卡胡拉的地下居然还有这么一片地方，我居然从来不知道......
"斯第奇·画布": 际崖城自古就在这里扎根，除了少数脑子里满是冒险故事的蠢蛋，我们一般对地上没那么有兴趣。
"斯第奇·画布": 当然，我是个例外。
"极境": 你是不喜欢冒险故事的那一类？
"斯第奇·画布": 没错，我不喜欢冒险故事......
"斯第奇·画布": 别拿话套我，我也不是蠢蛋！
"极境": 完全看不出来呢！
"斯第奇·画布": 咳嗯，重新再做一遍自我介绍，本人，斯第奇·画布，是这座城市最优秀的建筑设计师。
"斯第奇·画布": 如你们所见，这座城市里最直指人心的那些建筑都出自本人的设计......
"特米米": 比如那个大滑梯吗？斯第奇先生，对你有点刮目相看了！
"斯第奇·画布": 呃，那个不是。
"极境": 那一定是这座地底城市的穹顶，竟然还能模拟太阳光的感觉，想不到啊，小个子，本事还蛮大嘛！
"斯第奇·画布": 你们那是什么品味？就不能关注下这座城市真正的重点？
"依娜姆": 呃......绿化很不错？
"斯第奇·画布": 好吧，看来你们的品味的确亟待提升。
"斯第奇·画布": 难得有这个机会，在正式开始我的委托之前，我倒是不介意带你们欣赏一下这座城市真正称得上是智慧的结晶的地方。
"斯第奇·画布": 那里是我本人暂居的房屋，由我亲自设计，承载了深刻思辨的内核......

"斯第奇·画布": 你们瞧啊——

"特米米": 依娜姆，你看，那是卖什么的店啊！
"依娜姆": 泳装？
"特米米": 好可爱！！
"依娜姆": 你这身材塞不进杜林人的衣服的，何况还有你的粗尾......
"特米米": 呜呜呜，不准说人家的尾巴！
"特米米": 看看总还是可以的吧！
(震动)
"斯第奇·画布": 你们两个，喂，喂！！
"斯第奇·画布": 极境，我们去把那两个人逮回来......
"杜林小贩": 谢谢惠顾~
"极境": 嗯，这烤蘑菇的口感，这异域的风味，果然不一样。
"极境": 小刻在食物方面的品位果然一流，阿卡胡拉的蘑菇不容错过，阿卡胡拉地下的蘑菇更加难得！你也来一串？
(震动)
"斯第奇·画布": ......你也融入得太快了吧！
"摇晃的杜林人": 呜......头好痛......
"恍惚的杜林人": 老兄，坚持住！这些小小的困难不会把你打倒的！这些灾难，这些痛苦！我们不会白白承担！
"摇晃的杜林人": 我病得太重了，和你们在一起的日子，很开心......
"恍惚的杜林人": 一定还有什么办法，一定还有......
"恍惚的杜林人": 那神奇的液体呢？那种能够让你恢复活力的奇妙液体！
"摇晃的杜林人": 啊，是啊，还有那神奇的液体，可以让我重获对人生的信心......
"恍惚的杜林人": 帮帮我们，好心的过路人，和我们一起喊出那个有魔力的名字吧！
"摇晃的杜林人": 那个长着粗尾巴的，说的就是你！
"特米米": 欸......我吗？
"恍惚的杜林人": 来，遵从你的内心，喊出那个名字，三、二、一！
"异口同声的杜林人": 老卡尔蜜酿！！！
"特米米": 呃......嘉维尔煲的肉汤？
"恍惚的杜林人": 停——
"摇晃的杜林人": 说错词啦，粗尾巴！
"特米米": 请、请别这么叫我......
"恍惚的杜林人": 阿芙朵嘉从哪找来的这么奇怪的人......
"特米米": 阿芙朵嘉？
"摇晃的杜林人": 等等......你们不是老卡尔蜜酿爱好者协会的人！
"恍惚的杜林人": 除了阿芙朵嘉，协会里没有你们这么看上去十足清醒的家伙！
"依娜姆": 居然是以清醒程度作为判断标准......
"恍惚的杜林人": 怎么办，老兄，喊出我们心中所爱的活动就此取消？
"摇晃的杜林人": 那怎么行！
"摇晃的杜林人": 你是来自地面上的黎博利吧，相遇就是缘分，来来来，我这酒刚好还剩大半桶。
"特米米": 依娜姆，这几个人随身带着酒桶哎！
"依娜姆": ......他们到底是从哪拿出这么大个桶的？
"恍惚的杜林人": 这可是全际崖城最棒的酒！虽然有那么一小撮没见识的人拒绝承认吧。
"摇晃的杜林人": 要不要来试试，黎博利？你不会后悔的。
"极境": 这......你们还真是热情。
"摇晃的杜林人": 别客气别客气！看你这样子，就......
"极境": 一表人才？
"恍惚的杜林人": 不太清醒，正适合加入我们协会。
"极境": 是说我有一种超然世外的气质吗？啊哈哈，第一次收到这种评价，没想到还有连我自己都没有发觉的这一面。
"极境": 那我就不客气了，尝一杯吧！
"摇晃的杜林人": 这边的两位小姐，如果不介意的话......
"依娜姆": 嗯，我也想试试。
"特米米": 如、如果只是一点点的话！
"斯第奇·画布": 等等啊！你们怎么这就喝上了，还要帮我干正事呢！
"摇晃的杜林人": 嗯？你是......
"斯第奇·画布": 亲爱的市民，我知道直接面对一位大建筑设计师可能会让你们有点紧张。
"斯第奇·画布": 不过，别看这几位一副游手好闲的样子，其实他们还有很多事要忙，我们就先失陪了......
"恍惚的杜林人": 兄弟，你要来点吗？这可是好酒。
"斯第奇·画布": 我？不了，我从不喝酒。
"斯第奇·画布": 作为少数倾向用脑子解决问题的杜林人，我比较喜欢让头脑保持清醒......
"异口同声的杜林人": ......啧。
"斯第奇·画布": ......你们这是什么表情？怎么把酒瓶子举起来了？
"摇晃的杜林人": 我没听错吧，他刚才说了什么？
"恍惚的杜林人": 这小子说自己从不喝酒？还声称这叫让头脑保持清醒？
"摇晃的杜林人": 同胞们，我们有麻烦了，有异族人混进了我们的城邦！
"斯第奇·画布": 睁大眼睛啊醉鬼，他们长得才比较像异族吧！
"恍惚的杜林人": 该让这家伙知道，自己在说什么浑话了！

"思考的鲁珀": “比坚冰更硬，比冬天更长，比泪水更无声，比叹息更虚无。”
"思考的鲁珀": “依诺娃依然无法忘记她离开的那个下午，小镇如同咳嗽的巨人，呼出铁锈，啐下血痕。”
"思考的鲁珀": “她跌倒，再度爬起，却未曾停下脚步，她要求不多，只是想找到一片无梦的土地，一些可供虚掷的光阴。”
"思考的鲁珀": “或许还有一杯热茶，几口薄酒。享受并不是罪恶，起码对她不是。”
"思考的鲁珀": “她......她在追逐什么呢，她又在逃避什么呢？”
"思考的鲁珀": “连她自己都不知道答案。”


  <行动后>


"依娜姆": 别害羞，特米米，很适合你嘛。
"特米米": 真......真的吗？
"特米米": 嘿嘿，这件泳衣我一眼就看中了，是我喜欢的风格！
"依娜姆": 这家店的裁缝可真了不起，居然这么快就能改出适合你身材的款式。
"特米米": 我、我的身材有什么问题吗？最近我有加大训练运动量的！
"依娜姆": 放心吧，很可爱。
"特米米": 呼，那就好，我可不想再被笑话尾巴又粗了......依娜姆不去挑挑看泳衣吗？
"依娜姆": 我就算了。我倒是对刚才那个帮裁缝打下手的金属脑袋更感兴趣。
"依娜姆": 杜林的技术吗......
(震动)
"极境": 真是太高超了！
"极境": 我从没喝过如此醇美的酒！
"微醺的杜林人": 来，兄弟，祝你健康！
"极境": 祝我们健康，干杯！老卡尔蜜酿万岁！
"依娜姆": 喂特米米，这个叫极境的......真的靠得住吗？
"特米米": 呃，极境先生关键时候还是很厉害的，
"特米米": 大概！
"特米米": 说起来，罗德岛上也有杜林族干员，但他们从来不说自己城市的事情呢。
"依娜姆": 难道杜林族有什么隐藏的秘密？
"特米米": 不，我觉得他们只是不太在意，他们大概更关心中午食堂吃什么。
"依娜姆": 真没想到，我们居然有机会来到建在地下的杜林城市。
"特米米": 嗯，这或许是让嘉维尔的名字在杜林人里也传播开的大好机会......
"依娜姆": 你这次休假，居然没拉着嘉维尔、祖玛玛和克玛尔一起回来吗？
"特米米": 克玛尔说她想和煌小姐一起练拳。嘉维尔和祖玛玛去出任务了还没回来。
"特米米": 嘉维尔最近实在是太累了，让人操心！
"特米米": 真希望她能不要这么勉强自己......
"特米米": 我走之前给她们留了信，把你们发现斯第奇先生的事，还有斯第奇先生说的话都写下来了。
"特米米": 要是她们能借着这个机会回阿卡胡拉休息一下就好了......
"依娜姆": 那两个家伙，还有你，当初二话不说就让我当了这里的大酋长，也该回来看看我勉为其难了这么久的成果吧。
"依娜姆": 说句题外话，你们平时在罗德岛的时候有没有觉得，这个叫极境的，有点烦人？
"极境": 唔哦哦，完全不同的风味！
"大醉的杜林人": 高个子，我看你刚才和那帮喜欢蜜酿的家伙混在一起，听我一句，那就是儿童饮料！
"大醉的杜林人": 真正的好东西还得看咱们七号烈酒，来，干杯。
"极境": 干杯！
"极境": 这香气，是暴雨过后的雨林，地下溶洞中苔藓的味道......!
"大醉的杜林人": 啊抱歉，是木头杯子有点发霉了。
"依娜姆": 看起来他倒的确乐在其中。
"特米米": 不过，依娜姆，你还没和我说过，在哪遇到斯第奇先生的呢。
"依娜姆": 唔......这就说来话长了。

(灰幕)
"兴奋的阿达克利斯人": 大酋长，你上次带来的大家伙可真带劲儿！对着那些东西，我已经通了好几个宵啦！
"兴奋的阿达克利斯人": 这几天我老婆天天念叨我，说我的魂都快被这些东西勾走了！
"依娜姆": 不就是几台哥伦比亚的报废车床吗，不至于吧。
"兴奋的阿达克利斯人": 那可太至于了！传说中的制造机器的机器！你体会过那东西在你面前运转起来的感觉吗？我和我老婆恋爱的时候，心都没跳得这么快过！
"依娜姆": 唔，改天我让人给你的车床装个减震。
"依娜姆": 特米米再过些日子要回来了，得早做准备，去接她一下。
"不再兴奋的阿达克利斯人": 接特米米？我已经能想象出那得是多繁重的体力劳动了。
"唉声叹气的阿达克利斯人": 约等于被车床揍了一顿的劳累吧。
"不再兴奋的阿达克利斯人": 天知道她又会带多少收藏品回来！上次她寄回来的包裹，我们去了几个人搬？
"不再兴奋的阿达克利斯人": 我一开始还以为那是一整支商队！
"唉声叹气的阿达克利斯人": 特米米她从小就是这样没错啦，总喜欢收集一些乱七八糟的东西......
"唉声叹气的阿达克利斯人": 不过，她去罗德岛的这几年，是不是有点变本加厉了？
"不再兴奋的阿达克利斯人": 我是搞不懂为什么她要把嘉维尔打穿的钢板寄回来。
"唉声叹气的阿达克利斯人": 听说是因为在罗德岛的宿舍放不下了。
"依娜姆": 等等，前面是不是有人？

"？？？": 我一定是疯了才上来找罪受。先是那一串七拐八绕的洞窟，然后又是这么一片鬼地方！
"？？？": 可地心那老家伙也实在是太烦了，每天就是堵着门唠唠叨叨......啧，这些讨厌的藤蔓！这该死的太阳！
"？？？": 果然人造光源要比这玩意好得多！
"？？？": ......
"？？？": 好渴，困了。
"？？？": 完全无法理解老师为什么要离开际崖城，找不痛快吗？
"依娜姆": 小孩子？
"小孩子？": 你才是小孩子！
"依娜姆": 唔，好奇怪的口音，谁教你的？
"小孩子？": 我自学的，不满意？
"依娜姆": 小孩子要有礼貌，和别人说话不许这么不耐烦。
"阿达克利斯人": 这人长得好奇怪，阿卡胡拉还有这样的人？是谁家走失的孩子吗？
"阿达克利斯人": 不是粗尾巴，也不是细尾巴......
"依娜姆": 也不是黎博利或者斐迪亚，不，等等，难道你是......
"依娜姆": 你是杜林人吧？
"阿达克利斯人": 杜林？杜林人是什么人？
"依娜姆": 我也只在杂志上看到过，据说是一种生活在地下的奇怪种族。
"阿达克利斯人": 那不是磐蟹吗？
"也许是磐蟹？": 你才是磐蟹呢！找揍吗！
"阿达克利斯人": 哦！我想起来了！前几年的《奇谈怪论》上写过，据说杜林人的酿酒水平很高，这一点和磐蟹不太一样。
"阿达克利斯人": 磐蟹最多也就吃点发酵的水果把自己搞醉。
"依娜姆": 而且磐蟹也不是生活在地下，它们只是会用土把自己埋起来而已。
"不是磐蟹": 重点不是在那里吧！
"不是磐蟹": 哈，果然，地上人就是一群目光短浅的自大狂，什么都不懂还喜欢到处发表议论。
"不是磐蟹": 简直比杜林人还蠢。
"不是磐蟹": 啧，最重要的是，审美也糟得很。
"依娜姆": 喂，小杜林，我穿的可是萨尔贡最流行的款式。
"小杜林": 选择所谓的“流行款式”就足够证明你审美的糟糕程度了。被别人塑造的审美有什么价值？可悲的附庸罢了。
"阿达克利斯人": 大酋长，这小子是不是有点欠修理？
"依娜姆": 毕竟年纪还小，算了算了。
"小杜林": 我早就成年了！
"成年的小杜林": 唉，我和这些傻子啰嗦什么，告辞。
"阿达克利斯人": 啊，那个小孩子走掉了哎。
"阿达克利斯人": 嗯？又停住了？
"成年的小杜林": 我说......
"成年的小杜林": ......咳，我说，如果不太介意的话，地上人......
"成年的小杜林": 能给口水喝吗？
(灰幕结束)

