
《36.太阳甩在身后》

01.AS-ST-1 辉煌之城
"无所事事的市民": 还是按照家里的传统来，纯金打造的杯盏与碗碟，还有一罐葡萄酒......那是我祖父在我父亲出生时封入泥土的陈年佳酿。
"无所事事的市民": 愿祂尽享美味佳肴，与我们共享节日的热闹气氛。
"百无聊赖的市民": 愿你我能亲眼得见祂漫步人间的身影，获得祂的赐福。
"百无聊赖的市民": 敬不朽的米纳特哈玛仪，愿祂永远栖身在这里。
(震动)
"岸边的女孩": 姐姐，你找到了没有呀？
"佩佩": 稍等，小朋友，我刚刚好像摸到了。
"岸边的女孩": 可你已经站在水里快一个半小时了，每次都说快要摸到了。
"佩佩": 嘘......不要吵我......

"梅捷缇克缇": 真是的，那位大小姐又跑去哪里了？
"梅捷缇克缇": 明明每个城门外都安排了专人等候，却没有一个人看到过她。
"梅捷缇克缇": 为了迎接你我可是费了不少心思，怎么可能就让你悄无声息地混进来呢？
"欢乐的妇人": 午安，梅捷缇克缇女士，您这样匆匆忙忙是要去哪里？
"梅捷缇克缇": 啊，贝克特夫人，是你啊，我是要去见一位老朋友！
"欢乐的妇人": 这是我刚从院子里采摘的甜橙，漫灌节前结出的，味道一定能征服所有人的胃。
"欢乐的妇人": 拿一些给你的朋友吧，梅捷缇克缇女士。
"梅捷缇克缇": 我替那位不爱领人情的客人谢谢你。回见了，女士。
"欢乐的妇人": 回见！
"梅捷缇克缇": 这里的人总是这么热情......
"梅捷缇克缇": 唉......让我想想那家伙到底去哪里了......
"梅捷缇克缇": 当年一起在学校的时候，她最爱往哪里跑？
(震动)
"异乡的游客": 哦，女士，真的抱歉，我没有看到你，害你的橙子撒了一地。
"梅捷缇克缇": 我没关系，你呢？没有事吧？
"异乡的游客": 谢谢你的原谅，好心的女士。
"异乡的游客": 哦，不......
"梅捷缇克缇": 你怎么突然皱紧了眉头？哪里受伤了？
"异乡的游客": 刚刚，在你的额头有一片阴影掠过，这不是什么好征兆，它预示着你会遭遇厄运。
"异乡的游客": 如果你愿意花费五个第纳尔，我可以为你消除厄运的侵袭。
"梅捷缇克缇": 呃......那个，女士，我着急赴约，先走了！
"异乡的游客": 等等！哎！等等，两个第纳尔也行啊！
"异乡的游客": 我不骗你，你是真的会倒霉哇！

"岸边的女孩": 你不会骗我吧......
"佩佩": 放心吧，姐姐我说过的话，从来没有不算数的。
"岸边的女孩": 真的吗，呜......可是......
"佩佩": 别哭，我就要......
(震动)
"佩佩": 哎呀，不好，让它又跑掉了！
"悲伤的女孩": 呜哇！！！
"佩佩": 别哭别哭，我刚刚是逗你的！我其实捉到了，你看，不就在我手心里面吗？
"伤心的女孩": 姐姐坏......
"佩佩": 嗐......平时在家里作弄弟弟习惯了......
"伤心的女孩": 你弟弟真可怜......
"佩佩": 哪里可怜了，那家伙也没少作弄我好吧。好啦，罐子递给我吧，我帮你把鳞装进罐子里。
"啜泣的女孩": 我还以为这条金色的小鳞再也找不回来了......谢谢姐姐。
"佩佩": 啧啧啧，我费这么大力气帮你捉鳞，你就这么点音量，大声点。
(震动)
"啜泣的女孩": 谢谢姐姐，你最厉害了！
"佩佩": 这还差不多。
"佩佩": 好了，赶紧回家去吧，千万可别再突发奇想，学别人在外面遛自己家的宠物了。
"开心的女孩": 姐姐再见。
(害羞)
"佩佩": 在河里遛宠物鳞？原来不止我小时候会做这种异想天开的事情啊......
"梅捷缇克缇": 咳咳......
"佩佩": 啧啧，看来我在这水里摸了这么久的鳞，终于有人看不下去了。
"梅捷缇克缇": 原来你也知道我是什么心情啊，佩佩。
"佩佩": 唉，我还不想那么早就跑去博物馆嘛，到时候阿娜特缠着我问东问西，肯定一点都闲不下来。
"佩佩": 怎么只有你一个人来？阿娜特呢？
"梅捷缇克缇": 她啊，作为代理馆长本来事情就多，最近还碰上重量级的展会，更是忙得脚不沾地。
"佩佩": 不错，想不到阿娜特刚来就高升了。记得在学院的时候，很多人都不看好她温吞的性格，但我觉得她做事认真，肯定能成就一番事业。
"梅捷缇克缇": ......她骨子里一直是强硬的。
"佩佩": 就不说说你自己？在这座城市待了这么久，你没什么变化吗？
"梅捷缇克缇": 我嘛，不忙也不闲，现在勉强拿到了副馆长的头衔。
"佩佩": 你之前在哥伦比亚的博物馆不是......
"梅捷缇克缇": 我当时负责那里的商业运营，来了这里环境不一样嘛。
"梅捷缇克缇": 米纳特哈玛仪的博物馆又不用挣钱，光靠王酋和帕夏们每年的支持就能良好运转，我又派不上用场。
"梅捷缇克缇": 挺好，我乐得清闲。
"佩佩": 可你从前......一向是闲不下来的。
"梅捷缇克缇": 你呢？此次旅途中，一定有很多收获吧？
"佩佩": 多到难以想象。
"梅捷缇克缇": 嗯......那你要做的报告也一定多到难以想象吧。
"佩佩": 哎呦，不行，好热，我感觉有点中暑，得在这里多吹吹风。
"梅捷缇克缇": 少来，这个借口当年我在学院里帮你请假用过多少遍了。

"侍者": 女士，您在这里坐了很久，太阳这么晒，请问您需要来点饮料吗？本店招牌光果甘草汁，鲜榨的，只要五个第纳尔。
"侍者": 或者苹果玫瑰茄茶？两个第纳尔一杯。
"古怪的女人": 不要。
"侍者": 那么来杯杏子汁吗？只要一个第纳尔。
"古怪的女人": 我说了，“不要”。
"侍者": 好......
"阔绰的游客": 等等，侍者，先别走，给我来一壶你们最好的咖啡，要加本地特产的豆蔻和丁香。
"阔绰的游客": 再来一杯光果甘草汁给那位女士。
"侍者": 请稍等，二位。
"阔绰的游客": 女士，您来到米纳特哈玛仪享受漫灌节，怎能不准备好充足的预算呢？这样，您的旅行体验可是会大打折扣的。
"阔绰的游客": 无意冒犯，我始终觉得大家的消费应当符合自己的收入水平，如果资金不充足，还有很多别的好地方可以选来度假。
"阔绰的游客": 我听说玻利瓦尔的多索雷斯就不错，物价低廉，风景又漂亮，适合......生活比较拮据的人。
"古怪的女人": ......听起来很有道理，你真是见多识广。
"阔绰的游客": 过奖了。您呢？走在开拓自己眼界的路上吗？
"古怪的女人": 路上？......算是吧，我在寻找我的路途。
"侍者": 先生，您的咖啡。
"阔绰的游客": 放那里吧。
"侍者": 女士，您的光果甘草汁。
"古怪的女人": （一饮而尽）
"古怪的女人": 谢谢你的款待。
"阔绰的游客": （小声）啧——
"阔绰的游客": 侍者，能不能给我介绍一下，在你们的漫灌节上，都有些什么乐子......
"阔绰的游客": 你这是什么表情？
"侍者": 没......只是很惊讶，那位女士不肯花钱点饮料，却给了这么多小费......
"阔绰的游客": 呵，看来我是撞上了死要面子的穷鬼。
"阔绰的游客": 算了，我还是自己出去找乐子吧。侍者，麻烦结账。
"侍者": 一共十五第纳尔，先生。
"阔绰的游客": ......
"侍者": 先生？
"阔绰的游客": 呃......我的钱包怎么不见了？

"古怪的女人": 但愿河流带走这些镀金的废铁，但愿河水上涨时它们被需要的人捡到。
"古怪的女人": ......浪费时间，差点让我跟丢了目标。
"古怪的女人": 我听说......辉煌之城遍地宝石，还有无数勇士寻求未果的宝藏。
"古怪的女人": 结果我走了那么远，来到这里，却不断遇到只为几枚金币计较的人。

一片阴云飘来，遮住了烈日刺目的光芒，红发的女人从钱囊里倒出金币，一枚枚掷出，不偏不倚，打碎河中日影。
随即，她便吹着口哨，消失在人群中。

"佩佩": 啊......大巴扎的杏子汁还是这么好喝，和在学院时味道一模一样！
"梅捷缇克缇": 我原本猜你会来这里，在人群中转了好久也没看到你，最后才想起，以前在学院的时候，都是我们三人一起来的。
"梅捷缇克缇": 当你独处时，总是会去......
"佩佩": 河边......我一个人总爱去河边逛逛。不过，你居然为了找我跑了这么多地方。
"梅捷缇克缇": 你可是贵客啊，佩佩。
"佩佩": 都是朋友，怎么讲究起这个来了......
"梅捷缇克缇": ......
"佩佩": 你不会是搞了什么让人脚趾抠地的尴尬演出来迎接我吧？
"梅捷缇克缇": ......
"梅捷缇克缇": 那都是该有的礼数。
"佩佩": 少来，我都听见你肚子里的坏水哐当作响了。
"梅捷缇克缇": 你这次带来了什么大发现？
"佩佩": 一块宝石。
"梅捷缇克缇": 宝石？
"宝石商贩": 蓝宝石手串，蓝宝石项链，蓝宝石耳环，一整套随意搭配，只要两千第纳尔，看上就拿走，不还价不讲价，只要两千第纳尔就拿走。
"街边喇叭": 顾客朋友你们好，本店精选祖母绿戒指，一整箱购买享受低价折扣。
"街边喇叭": 保质保重，便宜实惠，个个都有十五克拉，买回去送亲戚送朋友，只要四千五百第纳尔。
"电视广告": 红宝蓝宝金绿宝，紫晶粉晶橄榄晶，买宝石就来大巴扎，天天批发价，低价始终如一。
"梅捷缇克缇": 米纳特哈玛仪盛产各种宝石，如果仅是一块普通宝石，那可不够看。
"佩佩": 哎，我发掘到的宝石还是有些不凡之处的。
"梅捷缇克缇": 不凡？
"品味不俗的妇人": 我最近买到了一颗粉蓝晶石，号称曾被用来净化水源。上面刻的源石回路非常精细，就像艺术品。
"衣着华美的男子": 听起来很有价值，我上个月也收了一颗类似的碧玺，镶在了手杖上，能大幅增强施放的源石技艺。
"气派不凡的老人": 那都不重要，喏，看。
"品味不俗的妇人": 这不是去年的限量宝石腰带吗？卖家不是号称这条腰带可以改善皮肤代谢，减缓衰老的速度？
"衣着华美的男子": 老人家您佩戴下来是什么感受？
"气派不凡的老人": 我确实感觉到自己神清气爽......
"佩佩": 呃......和他们这些大巴扎里尚在流通的宝石相比，我发掘的这颗可有一些罕见的功能。
"梅捷缇克缇": 罕见在哪里？即便是这些流通在大巴扎里的源石回路宝石，也是普通人难以见到的存在。
"佩佩": 先走吧，缇缇。
"梅捷缇克缇": 难道是什么见不得人的秘密？
"佩佩": 那倒不是，放心啦，肯定会和你讲的，不过——
"佩佩": 在热辣的太阳升得更高前，我得去七芒星大道买一尊祈愿雕像，做研究也是需要神明赐福的嘛。
"梅捷缇克缇": ......那你可得快点走，一会儿那条路就要烫脚了。

"鬼祟的女人": 目标正在向城中心的博物馆走去......
"鬼祟的女人": 能让本地博物馆的副馆长亲自来迎接，看来消息说的没错，她的身份确实不一般。

"梅捷缇克缇": 什么？！你找到的那块宝石是沙阿遗物？
"佩佩": 嘶......早知道就不穿露脚趾的凉鞋了，等会我脚上一定全是晒的凉鞋印。
"梅捷缇克缇": 你居然还在想凉鞋的事？那块宝石到底在哪里发现的？
"佩佩": 我在一片曾被叫做舒巴特-阿尔萨兰的土地发现了线索，几经波折，最终在一个王酋的领地找到了它。
"梅捷缇克缇": “群狮旧座”......
"佩佩": 我还在一处晶洞中见到了一段沙阿本人留下的古代影像。
"佩佩": 而这一路的发现，我都记在这份手札中，它会向世人揭晓那处丰盈满溢的宝库的真正位置，证明当年沙阿向梦魇许下的诺言并非传说。
"佩佩": 想想，如果我们进入宝库，那里会有什么等待着我们？
"佩佩": 且不论那些稀世珍宝价值几何，重要的是它蕴含的信息将为我们还原出当年的真相。
"佩佩": 缇缇，沙阿所留下的那些不解之谜将一一得到回答！
"佩佩": 他当年为何做出这看似疯癫的邀战之约？还有他和哈兰杜汗的惊世一战的真相！甚至是他最后的去向！
(得意)
"佩佩": 这将是震撼人心的发现！就连黄金之城都会向我投来目光！
"梅捷缇克缇": 你既然知道位置，直接带人进行发掘就好，只是......
"佩佩": 不，还差最后一条线索，我需要借用博物馆的一件文物。
"梅捷缇克缇": 你是帕夏的女儿，除了公开展出的文物，博物馆仓库的大门也随时向你敞开。
"佩佩": 这就是问题。
"梅捷缇克缇": 慢着，你难道是盯上......
佩佩看到博物馆的外墙上，幕布正缓缓展开。
幕布上面绘着一具身披金甲的尸体，脸部被面具遮盖，身形修长。
而在幕布的底端，有一行大字醒目无比：
法尔贾万达巴德博物馆周年纪念重磅展品——沙阿时代的无名将领。
"佩佩": 将领？不，他可是那间宝库的守卫者。
"梅捷缇克缇": 无论它到底是谁，它都是阿娜特最为看重的展品，恐怕没有那么容易借到。
"佩佩": 一颗附带着线索的宝石证明不了什么，我只有找到沙阿的宝库才能向父亲和陛下证明自己的能力。
"佩佩": 证明我有能力进入黄金之城，成为陛下的史官，记述整个萨尔贡的历史。
"梅捷缇克缇": 做帕夏的继承人不好吗，佩佩？
"佩佩": ......那些财富与权力，不过是繁荣的表象。真正贯穿我们家族每一代的荣耀，是世代相传的史官职位。
"梅捷缇克缇": 可佩佩......伯父不是一直属意你的弟弟担任史官的职位吗？
"佩佩": 他具备的品行素质我都有，论能力，我也绝不会输给他。
"梅捷缇克缇": 佩佩，再过两个月，就会有使者引领你弟弟去往黄金之城了。
"佩佩": 来得及，缇缇！只要你愿意帮我！阿娜特要我等到夏天结束，才能将那具尸体借给我研究。
"佩佩": 但这个夏天是我最后的机会了，我等不了那么久。
"梅捷缇克缇": 你们姐弟两个也真是......小时候就总打架，长大了又要为同一个位置争个不可开交。
"梅捷缇克缇": ......这是我的通行证，拿去吧。
"梅捷缇克缇": 你可以晚上进入展馆内偷偷研究。
"佩佩": 你......
"梅捷缇克缇": 看你们争来夺去这些年，我也是腻味了。
"梅捷缇克缇": 再帮你尝试一次，如果到最后，你还是一无所获，就不要再执拗下去了。
"佩佩": 不会。不会一无所获的。

(日光)

没有理会佩佩的自言自语，梅捷缇克缇缓缓站起身，看向那座历经数百年岁月的宏伟建筑。
太阳将花园与建筑照得明亮，无边的蓝色天空下，巨大的梯形建筑矗立。
一旁高大的棕榈树，被风吹动，发出沙沙的树叶摩擦声。
"梅捷缇克缇": 尽管每天都会看到，但我依然为它的气势所震撼。
"梅捷缇克缇": 这么多年，它静静守在这座城市中，默默与岁月相抗。
"佩佩": 是啊，在它面前，人的一生再漫长，也不过是一瞬。
"佩佩": 眨眼间......就过去了。
"梅捷缇克缇": 要是时光能定格在某一刻就好了。
"佩佩": 嗯，那该有多好。
"梅捷缇克缇": 明天展会见了。到时候被发现就说通行证是你偷的。

"古怪的女人": 明天......博物馆展会......
"古怪的女人": 很好，来宾的行程已经确定，接下来就要好好招待一番了。
"古怪的女人": 辉煌的史官家族传人、王者与英雄的传颂者、足迹遍布萨尔贡的探险家、博闻之人、尊贵的帕夏之女——
"古怪的女人": 珠娜佩卡佩-萨琪特-哈特谢普苏特。
"古怪的女人": 换了别人，多半会为自己没法一下子记住这么多人而烦恼，但站在这里的是娜仁图亚，她只会为这些头衔其实是同一个人而遗憾。
"娜仁图亚": ......就算只绑架她一个，赎金应该也够我还债了。
"娜仁图亚": 钱包里剩下的钱应该能买张明天的票......
"娜仁图亚": ......算了。
"娜仁图亚": 队伍太长，太阳太晒。
"娜仁图亚": 而这座城市里金币太不值钱......

"米诺斯游客": 你能向你们黄金的太阳、辉煌的宝石和你身后的大博物馆发誓吗？
"米诺斯游客": 你能基于对历史与文明的尊重审慎回答吗？
"米诺斯游客": 叩问你自己的良心，告诉我，博物馆的门票价格是多少？
"博物馆售票员": 我再说一遍，非萨尔贡历史文物的展馆是免票的，只有萨尔贡相关展馆需要买票进入，女士。
"博物馆售票员": 您如果看不懂这里，您面前的这块售票窗口玻璃上有配套游览服务的价目表，您可以租借博物馆的翻译服务。
"米诺斯游客": 米诺斯展厅是免票进入的？！
"博物馆售票员": 我再说一遍，没有“米诺斯展厅”，女士。
"博物馆售票员": 但“东北部分支”展厅不时展出一些你所说的米诺斯文物。
"米诺斯游客": ......“东北部分支”？
来自异国的游客深吸了一口气，裸露的手臂肌肉随着她握拳的动作而鼓起。
售票员下意识地想拉下小窗口的活木板，游客却一手牢牢地托住了木板。
"米诺斯游客": 历史是这片大地上所有人共同跋涉的一条长河。塔尔萨萨古镇的源石工坊由高卢探险家掘出，阿加门古国的传说经卷被米诺斯工匠复原。
"米诺斯游客": 而米诺斯自己的历史逆着河流散佚于黄沙，我只为一瞥它的残章上溯至此。
"米诺斯游客": 你是否认同，历史学者的使命是寻找人们忘却的过去......
"米诺斯游客": 为此，应该阻止握有强权的掠夺者出于自己的傲慢厚此薄彼？
"米诺斯游客": 换言之，如果你认为萨尔贡自己的历史值得人们付出一百第纳尔，那米诺斯难道不该与之相等？
"博物馆售票员": ......
"博物馆售票员": 您到底需不需要门票？
"米诺斯游客": ——更重要的是，萨尔贡人恰好就站在掠夺者的立场上。
"米诺斯游客": 话已至此，你愿意秉持自己的良知，正视馆内米诺斯文物的价值吗？
"博物馆售票员": 下一位！
"米诺斯游客": 等一下。
"米诺斯游客": 名字，赫里亚的阿斯帕齐娅。请用米诺斯语的拼写法，不要用萨尔贡语转写。
"阿斯帕齐娅": 给我一张票，谢谢。



02.AS-1 节前热身



"点灯人": ♪夜色笼罩在大河两岸♪
"点灯人": ♪双月，一对相爱的伴侣，缓缓升上天空♪
"点灯人": ♪黑暗中，他们悄悄地亲吻♪
"点灯人": ♪殊不知，群星一颗一颗亮起来了♪
"点灯人": ♪星光里，他们羞红了脸蛋♪
(震动)
"点灯人": 啊——！
"点灯人": 小姑娘，大半夜你怎么在这里不声不响的？吓死我了！
"佩佩": 大叔，你怕什么？你难道怕我打劫你吗？
"点灯人": 那倒不是，在这里生活的人哪里有缺钱的哟。
"点灯人": 你们年轻人，大晚上不去滨河大道谈恋爱，在博物馆门前干什么？
"佩佩": 来值夜班啊。
"点灯人": 啧啧啧，这几年真是邪了门了，以前点灯，点几盏就能碰上一对卿卿我我的小情侣，现在好了，全是摸黑加班的人。
"点灯人": 去吧，路给你点亮了，工作干完早点回啊。
"佩佩": 谢了，大叔。

"佩佩": 真的一个人也没有......缇缇那家伙倒是没骗我。
"佩佩": 让我看看，这么久没来，他们又发现了什么好东西？
"佩佩": 暗阑时代的宝石作坊遗迹坑，这设备的源石回路痕迹有点来头啊......这么完整的件，是整体成形的吗？
"佩佩": 不......是用整块源石雕琢而成，真精巧啊，不细看根本看不出来。
"佩佩": 哇，是雨林里发掘的奔流时代的祭祀用具，上面有好多斑点......活物祭祀留下的血点吗？
"佩佩": 好多武器......是为了黑土之战而举行的祭祀吗？
"佩佩": ......
"佩佩": 唉......以后有空再好好和你们认识认识，我今晚可是有约的啊。

"佩佩": 就在这里了......
"佩佩": 初次见面，老先生，很抱歉打扰您夜晚的平静，但我有许多疑惑，只有您能为我解答。
"佩佩": 拜托啦，请千万不要因为我的冒犯而生气。
"佩佩": 漂亮耶！

"佩佩": 种族菲林，目测身高约两米，躯体大部分被金属机械置换，保有部分肉体组织。
"佩佩": 皮肤颜色为紫色，疑似被防腐药水浸染而成，触摸仍有弹性。
"佩佩": 面部佩戴黄金面具，周身覆盖黄金甲胄，体内脏器已被摘除。

(渐清晰)
"佩佩": 奇怪，无论是尸体本身还是陪葬器物，都没有指向宝库位置的线索。
"佩佩": 可现场所发掘到的一切都在这里了啊？
"佩佩": 或许......线索还是这颗宝石本身......
"佩佩": “第一颗代表心脏，自它跳动，我们便存在。”
"佩佩": “第二颗代表肺，当我们初次呼吸，记忆便开始。”
"佩佩": “第三颗代表胃肠，食物进入肚皮，舌头变得挑剔，我们有了喜好、个性。”
"佩佩": “第四颗代表肝脏，我们清醒着进入夜晚，为了职责与义务。”
"佩佩": 那我又该如何使用这颗宝石？
"佩佩": ......
看着尸体空空的胸腔，佩佩沉思片刻，将手伸入其中，将宝石放在了心脏的位置。
随即，她屏住呼吸，等待变化发生。
"佩佩": ......
"佩佩": ......
"佩佩": 怎么会？
"佩佩": 毫无变化......
没有期待中的影像出现，没有想象中的文字浮现，佩佩皱起眉头，想要将宝石取出。
她安慰自己，或许只是位置不对。

但手刚刚伸进尸体的胸腔内，她便感受到了异样。
明明只是一片空腔，她却觉得自己的手伸进了水中，明明宝石近在咫尺，她却觉得自己在一片无底的水塘中摸索。

"佩佩": 呃......
"？？？": 谁啊？忙到大半夜还不回家？
"佩佩": 糟糕......是巡逻的人。
"佩佩": ......
轻轻合上玻璃展柜，佩佩蹑手蹑脚躲进了黑暗中，屏住呼吸。
"博物馆保安": 怎么回事？
"博物馆保安": 明明听到有响动的......
"博物馆保安": 好像......是这边？
"佩佩": （怎么往这边过来了......！）
"博物馆保安": 嘿，谁在那里吗？
"佩佩": （唔......糟了！他就在我背后......）
(震动)
"博物馆保安": 谁？！
"佩佩": （有其他人......？）
"神秘的动物": 喵......？
"博物馆保安": 原来是只小动物啊......我说呢，小乖乖，你是从哪里跑来的？
"神秘的动物": 喵嗷！
"博物馆保安": 哎呦，你跑那么快干什么？我这里有罐头要不要吃哇？
"佩佩": （得赶紧趁机去拿宝石......）
"博物馆保安": 奇怪，怎么一转过弯，那个小东西就不见了？
"佩佩": （他怎么又回来了？！）
"博物馆保安": 嗯......谁下班的时候窗户没关紧？热风都吹进来了。
"博物馆保安": 怪不得会有小动物跑进来，可不能让它在博物馆乱窜啊。

"神秘的动物": 喵嗷——！
"神秘的动物": 喵————嗷————！
(震动)
"愤怒的女人": 谁家的宠物啊，再嚎明天抓了你去绝育！
"神秘的动物": （小声）喵嗷嗷......？
"瞌睡的市民": 啊哈......对不起，米奥，我睡得太熟，没有听见你在外面。
"米奥": （不悦地摇摇尾巴）
"瞌睡的市民": 你见到那个人了吗？
"米奥": （点头）
"瞌睡的市民": 很好，辛苦了，米奥。
"瞌睡的市民": 太久了，我们已经等待太久了。
"瞌睡的市民": 米奥，你得赶快带他来见我。
"米奥": （点头）
"瞌睡的市民": 进来吧，我泡了一些肉干给你，你会喜欢的。
"米奥": （亲昵地蹭来蹭去）

"？？？": 佩佩......
"？？？": 佩佩，你昨晚到底做了什么？
"？？？": 告诉我......你告诉我......
"佩佩": 啊！不是我！我没有！我昨晚一直没出过门！事情不是我干的！
"阿娜特": 佩佩，你......
(疑惑)
"佩佩": 阿娜特......？
"阿娜特": 佩佩，你昨晚......没有睡好？
"佩佩": 为什么这么问，我觉得自己很精神啊？
"阿娜特": 你刚才在讲话的时候睡着了......
"佩佩": ......
"？？？": 啊哈......早啊，二位。
"阿娜特": 唔......好大的酒味，你昨晚去哪里了，缇缇？
"梅捷缇克缇": 佩佩好不容易来一次，我带着她去城内好好逛了逛嘛。
"梅捷缇克缇": 想不到你昨天喝了那么多，早上居然能起来？身上一点味道都没有，洗了个澡？
"佩佩": 啊......对！脑子昏昏沉沉的，不得洗个凉水澡清醒一下。
"阿娜特": ......今天就是开幕式，缇缇。
"阿娜特": 我都快着急死了，你居然还带着佩佩一起去喝酒！
"梅捷缇克缇": 哎呀，我这不是一大早就来了。展览的每处细节我都仔细看过了，你安排得非常完美，只不过......
"阿娜特": 我是有哪里做得不够好吗？趁现在还有调整的机会，直接和我说就好！
"梅捷缇克缇": 只不过你今天实在是有些太紧张了，放轻松。
"梅捷缇克缇": 安心准备开幕式的演讲吧，这里交给我，我保证展会肯定能顺利。
"阿娜特": 唉，你赶紧去换身衣服吧，一身酒味，让游客闻到了小心被投诉。
"梅捷缇克缇": （小声）看你魂不守舍的样子，你是不是搞出了什么麻烦？到底怎么回事？现在，快点，解释给我听。
"佩佩": （小声）昨晚我把那颗宝石放进了尸体的胸腔，我本来想取出来的，但保安那时过来了。
"佩佩": （小声）展会结束后，给我一点和那具尸体独处的时间，我会想办法把宝石取出来的。
"梅捷缇克缇": （小声）幸好大家都没有发现什么异样。我想办法，最多一个小时。到时你要是拿不出来，我就要上报自己的通行证遭窃了。
"佩佩": （小声）放心好了，拿不出来，我亲自去找阿娜特赔罪。
"佩佩": （小声）话说你身上的酒味到底是哪来的？
"梅捷缇克缇": （小声）我进门前往身上倒了一整瓶葡萄酒。
(汗)
"佩佩": 啧......我说你身上怎么这么黏。

"娜仁图亚": 阿雅妮，你那边准备得如何？
"右边的耳机": 没有任何问题，娜仁图亚，发烟器安装完毕，只等你发出讯号，立刻就能在人群中制造混乱。
"娜仁图亚": 阿雅吉，你呢？报告位置。
"左边的耳机": 我就位了。
"娜仁图亚": 很好，她是帕夏的女儿，此次绑架要是做得不够干净，后面可是一屁股的麻烦。
"左边的耳机": 我不明白，你为什么选在这里实行计划，人很多，事情不好办。
"娜仁图亚": 不，阿雅吉，你错了，人越多越好。
"娜仁图亚": 骚乱发生时，没谁会觉得几个热心人士扛着一位被吓晕的心脏病患者匆忙离开是件奇怪的事。
"娜仁图亚": 那些混乱慌张的人能顾得上自己就不错了。
"右边的耳机": 博物馆内的摄像头盲区我已经为你标注在地图上了，抓准时机弄晕她。
"娜仁图亚": 嗯，我会提前离场进行埋伏。
"娜仁图亚": 希望这支针剂能让她做个好梦，我可不想再进雨林采集这些药物了。

"阿斯帕齐娅": 这标牌上的象形文字我认不全啊......女士，请问你知道“东北部分支”展厅在哪里吗？
"挑剔的参观者": “东北部分支”展厅......我也不是很清楚，以前没有怎么逛过。
"挑剔的参观者": 如果您不介意，我愿意陪您一起找找，毕竟在我看来，您这一身优美的肌肉线条可比这些文物要精彩得多。
"阿斯帕齐娅": 女士，请不要这么说，在这里展出的文物都代表着一段历史。
"阿斯帕齐娅": 在我看来，它们个个都值得人们驻足欣赏。
