
《27.空想花庭》

01.HE-ST-1 奉上冠冕
"精神的拉特兰人": 不过管它呢，有活动就好好享受呗，咱们哪天不是这么过的，想那么多干嘛！
"精神的拉特兰人": 你说，这些气球绑在身上，能把我带上天不？
"快乐的拉特兰人": 美得你，就你那体重，再减二十斤也上不去吧！
"精神的拉特兰人": 别这么说嘛！我可以把外套脱了再试试，反正今天也不怎么冷......
"精神的拉特兰人": 快看！又有新的气球放出来了！
"精神的拉特兰人": ......不行！帮我拿一下衣服，我一定要试试！
"快乐的拉特兰人": 哎，你！小心点啊！
"精神的拉特兰人": 吼哟哟哟哟——！真的、真的飞起来了！
"精神的拉特兰人": 好高啊......！等会，怎么还在往上升？
"精神的拉特兰人": 不行了！我、我好像有点恐高！
"？？？": 借过。
"快乐的拉特兰人": 哎！那边的小哥！别走......帮帮忙！
"？？？": 嗯？
"精神的拉特兰人": 救命！让我、让我下来！
"费德里科": 可以。
(震动)
"精神的拉特兰人": 哎哟！
"精神的拉特兰人": 摔死我了......多谢你啊，小哥。
"精神的拉特兰人": 对了，我的气球......
(震动)
"精神的拉特兰人": 啊！我的气球怎么全炸了！小哥，你下手也太狠了一点吧！
"费德里科": 根据现场情况判断，这是最合理的方式。
"精神的拉特兰人": 话是这么说......唉，就不能给我留两个气球嘛。
"快乐的拉特兰人": 少唉声叹气了，人家那也是为了把你给弄下来！这位帅哥，你别理他！
"快乐的拉特兰人": 帅哥，你这身衣服在哪定做的？怪帅气的。
"费德里科": 我不清楚。
"快乐的拉特兰人": 啊？这还能不清楚？难道是别人送的？
"精神的拉特兰人": 我看着像是工作服，这款式还有那么点眼熟......
"快乐的拉特兰人": 在哪干活能领到这么帅的工作服啊？我现在就去投简历！
"费德里科": ......不确定是否为标准工作服饰。
"费德里科": 如有意，请持简历前往教皇厅进行投递。

"伊万杰利斯塔十一世": “......他们带领萨科塔，他们建起城市，称之为拉特兰。”
"伊万杰利斯塔十一世": “而当灾难再次逼近，将有新的启示落在萨科塔中，新的领路人随之而现，指引众人......”
"伊万杰利斯塔十一世": “在世人见证之下，萨科塔的乐园将矗立不朽。”
"万国信使": 我等在此见证。
"教宗骑士": 我等在此见证。
"修士": 我等在此见证。
"伊万杰利斯塔十一世": ——好了，仪式就到此为止。
"伊万杰利斯塔十一世": 抬起头吧，我的孩子。
"伊万杰利斯塔十一世": ......不，至少在眼下的这个场合，我们该换一个称呼了。
"伊万杰利斯塔十一世": 请抬起头，站到我身边来吧。拉特兰城建立千年以来，历任教宗外的首位受选者——圣徒，费德里科·吉亚洛。
"费德里科": ......
"伊万杰利斯塔十一世": 你看起来兴致不高，是因为外面的那些气球不合你的喜好？
"费德里科": 我不明白。
"伊万杰利斯塔十一世": 嗯？
"费德里科": 圣徒的具体职责是什么？所谓将至的“灾难”是什么？是否需要立即针对此事采取行动？
"费德里科": 我需要了解“灾难”的详情。我将依据具体情况制订作战方案。
"伊万杰利斯塔十一世": 正当的质疑。但恐怕我无法回答你的问题，孩子。
"伊万杰利斯塔十一世": 我得到的警示直接却也难解，它并未给出一个明确的答案。
"伊万杰利斯塔十一世": 一个时代总要面对种种波折与磨难，我们只能尽可能地提前去做准备。可以确定的是，它确实选中了你，认为你有能力应对未知的灾厄。
"费德里科": ......我不能理解。
"伊万杰利斯塔十一世": 不必急于一时，我们应当还有一些时间。
"伊万杰利斯塔十一世": 至于现在，我们可以聊一点更应景的，比如说......费德里科，我认为这一身很适合你。
"伊万杰利斯塔十一世": 几位枢机可是为这次的服装剪裁和配色决斗了好几回，现在看来一切都是值得的。
"费德里科": 这并不属于枢机的工作内容。
"伊万杰利斯塔十一世": 别这么严格，大家都会忍不住对一些自己感兴趣的事儿投以关注。
"伊万杰利斯塔十一世": 我看过你的工作履历，费德里科，能看得出你是一个优秀的执行者，非常优秀。
"伊万杰利斯塔十一世": 你并不如许多人一样，被戒律所束缚，视许多行为为禁忌，是吗？
"费德里科": 如果有需要，禁忌可以被打破。
"伊万杰利斯塔十一世": 当然，我不反对这样的想法。
"伊万杰利斯塔十一世": 你对事物有自己的判断标准，所以你总是能很好地完成任务，尽管有时会有些出格。
"伊万杰利斯塔十一世": 唔，这里有一项任务，我本打算亲自走一趟，却不巧急务缠身......现在看来，或许我有了一个新的人选。
"伊万杰利斯塔十一世": 这不是一件轻松的活计，任务的情况或许会十分复杂，会超出我们现有的想象，会与你之前执行的任务都不相同。
"伊万杰利斯塔十一世": 但我相信你可以处理。我希望能看到......祂选择你的理由。
"伊万杰利斯塔十一世": 费德里科，我希望你能代替我走一趟。
"费德里科": 收到，执行者费德里科确认任务。
"费德里科": 请说。

"消瘦的老人": 你在看什么，阿尔图罗？
"阿尔图罗": 看这些花，阁下。
"阿尔图罗": 整座修道院只有这里有。我很幸运能赶上花期，这样美丽的景色值得好好欣赏。
"消瘦的老人": ......克莱芒听到你这么说会很高兴的。

"消瘦的老人": 已经很久没人会特地来看他照顾的这些花了，原本这修道院里到处都是花圃......
"消瘦的老人": 现在也只剩下你眼前这些。
"阿尔图罗": 真令人惋惜。我听说这些花中蕴藏着某种美好的寓意。
"消瘦的老人": 曾经有过。
"阿尔图罗": 那么现在如何？
"消瘦的老人": ......或许还有。可我的眼已经花了，赏花对我来说已不再是一种纯粹的享受。阿尔图罗，我太老了，在这里活得太久了。
"消瘦的老人": 现在我只知道，就像你的琴声虽能抚平伤痛，却无法抵御衰老一样，花填不饱任何人的肚子。
"消瘦的老人": 我并非没有设想过，事情不会尽如人意。或许，从我们的求援信送达拉特兰起，今日的局面便已注定。
"消瘦的老人": 如今......
"消瘦的老人": 只剩苦果。
"阿尔图罗": 唔，苦果。连尾音都像是能在舌尖留下一点挥不散的苦涩，我并不讨厌这种滋味。
"阿尔图罗": 以我的经验来看，贫瘠的土地上往往难以结出甜美的果实。
"消瘦的老人": ......贫瘠。是啊，多贫瘠的一片土地。
"消瘦的老人": 这样贫瘠的地方，却是我们这些人的家。
"消瘦的老人": 我曾以为，我们这些人能够找到一种更好的、更安稳的生活。
"消瘦的老人": 我们有足以遮风避雨的堡垒，我们的信仰坚不可摧，我们对平静生活的向往胜过对故土的思念。
"消瘦的老人": 剩下的无非就是远离纷争，找到一个安静的角落，平静地活下去。
"消瘦的老人": 可现在......
老人枯瘦的面部细微地抽动。
像是正调动着力量，在松垮的皮下艰难地与要将人压垮的东西奋力撕扯，将要说出口的话被一串咳嗽，以及风箱破漏般的哮鸣取代。
"消瘦的老人": 自那之后过了多少年？五十年，六十年......还是更久？
"消瘦的老人": 自海洋的灾难爆发，我们拒绝审判庭的要求并离开伊比利亚，好几代人生活在这里......我看着孩子们出生，看着他们被埋葬。
"消瘦的老人": 而今，生活已成一件难事。
"阿尔图罗": 生活一向艰难。
"消瘦的老人": 是啊。是啊......
"消瘦的老人": 看看现在还活着的人吧。我已经分不清了，他们是哪里的人？
"消瘦的老人": 他们属于伊比利亚，还是拉特兰？
"消瘦的老人": 我们走得太久，走得太远......
"消瘦的老人": ......
"消瘦的老人": 阿尔图罗。
"消瘦的老人": 跨过这样的岁月，我是否还是一个拉特兰人？
"阿尔图罗": 这个问题只有您自己能回答，斯特凡诺·托雷格罗萨主教阁下。
"修道院主教": 我希望自己还是。
"阿尔图罗": 那么您就依然还是。
"修道院主教": ......你说的都是事实，阿尔图罗。
"修道院主教": 你不必再试探我的想法。
"阿尔图罗": 这是个误会，我绝无要探寻阁下隐私的想法。
"修道院主教": 我允许你在此处停留，只因这里不拒绝任何不怀恶意之人。
"修道院主教": 但是阿尔图罗，我也始终不知你所求。
"阿尔图罗": 如果我说我确实别无所求？
"修道院主教": ......
"阿尔图罗": 看来阁下并不相信。
"阿尔图罗": 那么这样说吧，请您不要在意我，我可以承诺绝不会干涉这里的任何事，当然，也不会干扰您做任何决定。
"阿尔图罗": 我不过是一名旅人，被这里的故事吸引而驻足，祈祷着能看到一个完美的结局。
"阿尔图罗": 需要我指着光环发誓吗？
"修道院主教": 你是个狡猾的人，阿尔图罗。
"修道院主教": ......但我相信你的语言。
老人再度沉默。
人老去后是否都会显得干瘪僵硬？曾受人喜爱的每一根面部线条，都散发出沉沉暮气。
双眼从清澈变得浑浊，蒙上阴翳，看着这双眼睛，就好像看遍此处几十年的光阴。
那张脸原本应该显得更柔和，更和善，更加像一个拉特兰人。
"修道院主教": 这几十年间，圣城从未对我们有所回应，但我无一日放弃祈祷。
"修道院主教": 我的信仰教我友爱，却从未教我要放弃我们的兄弟姐妹，我们忠诚的朋友。
"修道院主教": 可若要舍弃少数，而令大多数幸福......
"阿尔图罗": 若我是一名虔诚的信徒，便会认为这是背叛。可耻的背叛。
"阿尔图罗": 您是这样想的吗？
"修道院主教": ......我不能回答你，阿尔图罗。
"修道院主教": 若信仰背叛了其自身，其信徒又该何去何从？

"沧桑的猎户": 东西就放在这了。
"沧桑的猎户": 之后找几个小伙子来，尽快都处理好，应该能存上一个冬天。
"瘦削的修道院居民": 哎，行，我一会就去喊人来！
"瘦削的修道院居民": 太好了，有了这些肉食，应该就还能再撑一撑......
"沧桑的猎户": ......对不住。
"沧桑的猎户": 天渐渐冷起来了，猎物不好找，这次的收获比想象中要少。
"瘦削的修道院居民": 这是什么话，这我可不爱听！
"瘦削的修道院居民": 多亏了你们，孩子们才能吃上点荤的......什么对不住对得住的，可不兴再这么说了。
"沧桑的猎户": 哈哈，那是我说错话了。晚上多给孩子们做点好吃的吧。
"瘦削的修道院居民": 我倒也想，唉，总得省着点吃。
"瘦削的修道院居民": 对了，这次怎么没瞧见赫曼？该不会是受伤了吧？
"沧桑的猎户": ......放心，没什么事。
"瘦削的修道院居民": 真的？
"瘦削的修道院居民": 受伤不是小事，搞不好是要出问题的，你可不能瞒着啊！
"沧桑的猎户": 知道了。真有事一定来找人帮忙。
"沧桑的猎户": 时间不早，那我先回去了。
"瘦削的修道院居民": ......哎，等会，杰拉尔德！
"杰拉尔德": 嗯？
"瘦削的修道院居民": ......最近大伙儿都在议论拉特兰的那事儿，大伙儿其实都没啥其他意思，就是有时候可能有点着急。
"瘦削的修道院居民": 要是有人说错了话，你们别放在心上......
"杰拉尔德": ......
"杰拉尔德": 我理解。
"瘦削的修道院居民": 啊，啊......那就好，那就好......

"强壮的青年": ......
"杰拉尔德": 辛苦你跑一趟，莱蒙德。
"杰拉尔德": 走吧，剩下的事不用我们插手。赫曼还没有回来吗？
"莱蒙德": 今天都没见到人，刚刚戴维他们已经出去找人了，一会我也会去。
"莱蒙德": 还有，出去探路的队伍也已经安排好了，等晚上人回来应该就能有确切消息。
"杰拉尔德": 你做得很好。继续做准备吧。
"莱蒙德": ......等一下，杰拉尔德老大！
"莱蒙德": 我们难道真的要就这么接受现状吗？！
"杰拉尔德": 冷静点，莱蒙德。
"杰拉尔德": 你应该清楚，我们从来没有太多选择。
"莱蒙德": 那我们就这么妥协了？
"莱蒙德": 这么多年我们到底算什么？我们和他们又有什么不同，我们不过是——
"杰拉尔德": 莱蒙德！
"杰拉尔德": 够了，别任性。
"莱蒙德": 可是！
"杰拉尔德": 没有可是。
"杰拉尔德": 我知道你不好受，莱蒙德。
"杰拉尔德": 趁今天还有时间......如果还有什么人要见，就快去吧。

//////  进食。  //////
//////  为满足个体的生存需求而咀嚼吞咽。  //////
//////  这是一切生命活动的基础，所有生物最初始的本能。  //////
//////  吞食、汲取、吸收。  //////
//////  为生存而竭尽努力。  //////
//////  世上再没有比这更正当的欲求。  //////

"温和的教士": 我本该再劝一劝你，但是现在其实并不是一个合适的时机。
"温和的教士": 你太虚弱了，有太多东西会在我们虚弱时干扰我们的思考，扭曲我们的判断，让我们无法遵从思想的指引。
"温和的教士": ......
"温和的教士": 你现在，是不是已经听不见我的声音？
无人给予回应。
教士的声音与某种隐秘而奇异的声响交织，在空旷的地下弥漫。
那是进食的声音。
是将一切可化为养料的物质撕裂扯碎，然后咽下食管，吞入腹腔的声音。
失去原本形态的生命在阴影中逐渐生长。
"温和的教士": 就快要入冬了，最近晴天不太多。
"温和的教士": 这栋建筑就像是一座无援的孤岛，它已经独自支撑足够久了，但它就快要撑不下去了。
"温和的教士": 你瞧，这里四壁都有了裂隙，挡不了太强的风。
"温和的教士": 嗯，看起来可用的燃料也所剩无几，如果没有足以御寒的物资，这个冬天会有许多人因此挨冻。
"温和的教士": 当然，我们也并非完全束手无策。
"温和的教士": 附近还有一两条规模不算很大的源石矿脉，不是吗？
"温和的教士": 那里可以开采到能作为能源使用的源石，这么多年来，你们不就是这么做的吗？
"温和的教士": 但那会很危险，当然，大家都知道那非常危险，感染矿石病的风险威胁着所有的人......
"温和的教士": 如果不是没有选择，谁会甘愿冒这样的风险呢？在这样的孤岛上，一旦感染矿石病，与被判死刑无异。
"温和的教士": 当初你们背井离乡，一路走到这里，为了能够有一隅容身之处，自愿担负起了最危险的工作。
"温和的教士": 你们早已是这座修道院不可或缺的一部分。
"温和的教士": ......
"温和的教士": 你还是听不见我说的话，对吗？
"“进食的黑影”": ......
"温和的教士": 必须要承认......
"温和的教士": 我现在真的感到有些难过。

"萨科塔少女": 有人吗？请问有没有......
(震动)
"萨科塔少女": 哇！
"萨科塔少女": 地上怎么会有这么多碎玻璃......
"消瘦的男人": 是福尔图娜？你来得正好。
"消瘦的男人": 能拜托你来这边搭把手，扶一下这个窗框吗？今天的风太大，这里的窗户玻璃又碎了，得先想办法把口子堵上。
"福尔图娜": 哎，没问题，交给我！
"福尔图娜": 这窗户不是前两天刚补好的吗，怎么又碎了？我还记得之前我一边听斯特凡诺爷爷布道，一边被风吹得牙齿打颤......
"福尔图娜": 需要剪一些胶布来贴吗？
"消瘦的男人": 用胶布恐怕不行，这次碎得太厉害了。抱歉，我没办法把所有碎片拼起来......
"福尔图娜": 又不是克莱芒叔叔的错，干嘛对我道歉？
"福尔图娜": 我们现在怎么办，是不是得先找点东西挡一下？风吹起来好冷......啊，要不我去找点不用的布料来？
"克莱芒": 不用浪费布，有布料还是多做两件衣服吧，最近天气凉了。
"克莱芒": 之前杰拉尔德拆掉了一部分他们那边的空屋，应该还剩了一些木板，我一会去找找......
(震动)
"克莱芒": 好，窗框这样就可以了。辛苦你了，福尔图娜。
"克莱芒": 对了，福尔图娜，你刚刚进来时是想做什么？
"福尔图娜": 啊，对了！我是想来看看有没有什么吃的，都怪菲娜，害我迟到了这么久，都没赶上午餐......
"严肃的少女": 怪我什么？
"福尔图娜": 菲娜！
"福尔图娜": 你怎么也来了？
"德尔菲娜": 我要是不来，还不知道你会在背后这样说我坏话呢！
"福尔图娜": 我可没说你的坏话，我只是实话实说嘛。要不是你非要抓着我教训，哪会耽搁到现在？
"德尔菲娜": 那还不是因为你太傻，被人骗了都不知道！
"德尔菲娜": 早就和你说过，要小心那个叫蕾缪安的女人！她到处找人接触，装出一副关心的样子，谁知道安的是什么心......
"德尔菲娜": 小福，你最近总是一副魂不守舍的样子，是不是她又和你说了什么？
"福尔图娜": 没有！没人和我说什么，我也没有魂不守舍！
"德尔菲娜": ......不，你有。
"德尔菲娜": 小福，我们都是萨科塔，你骗不过我。
"福尔图娜": ......
"福尔图娜": 菲娜，蕾缪安也是萨科塔，你能感受到她没有恶意，但你为什么就是不肯信她？
"福尔图娜": 为什么你就这么讨厌拉特兰的人？但是我们不也......我们原本不也应该是拉特兰人吗？
"福尔图娜": 斯特凡诺爷爷之前明明说我们很快就能回去了，那为什么要把拉特兰的使者抓起来？
"福尔图娜": 为什么我们不回去？
"德尔菲娜": 因为莱蒙德他们不能和我们一起！这个理由还不足够？
"德尔菲娜": 难道你要抛下他们？我做不到！
"福尔图娜": 我不是那个意思！
"德尔菲娜": 那你是什么意思？！
"克莱芒": 好了！别吵了！
"克莱芒": 主教阁下这样决定总有他的道理，你们俩......都别说了。
"德尔菲娜": ......
"福尔图娜": ......
"克莱芒": 我去找木板，总之先把这扇窗户封上......你们都冷静冷静。
"福尔图娜": ......菲娜，难道你感受不到我的想法？
"德尔菲娜": 我可以，小福。
"德尔菲娜": 但我......
"德尔菲娜": 算了，刚刚是我太冲动了。我、我知道你没那个意思。
"福尔图娜": ......我也有错。
"德尔菲娜": 你总是握着这把铳。我记得这把铳是你爸爸给你的吧，不是早就不能用了吗？
"福尔图娜": 是不能用了，可能是哪里的零件出了问题吧。而且我也不太会用铳......
"福尔图娜": 但是，我带着它本来也不是为了要使用啦。
"德尔菲娜": 我一直以为你拿铳当装饰品。
"福尔图娜": 对了一半。
"福尔图娜": 像这样握着铳，这是一种......祈祷。
"福尔图娜": 爸爸把铳留给我的时候是这么说的。他说这是萨科塔的习惯。
"德尔菲娜": ......我不知道有这种习惯。
"德尔菲娜": 我外婆的铳丢在峡谷里了。
"福尔图娜": ......别难过，菲娜。我把铳借给你。
"福尔图娜": 等我想办法把它修好，我们就一起学怎么使用它。
"福尔图娜": 现在，让我们一起祈祷。

"克莱芒": 上次剩下的木板......应该是放在这里的。
"克莱芒": 有了有了，果然是在这。
"克莱芒": 好，这样就足够了。如果剩余，还可以把外围的窗户也稍微修一修。
"克莱芒": ......还有燃料......
"克莱芒": 燃料也剩得不多了，唉。
"克莱芒": 嗯？
"克莱芒": 什么人？！
"克莱芒": ......
"克莱芒": ......没有人？
"克莱芒": 是我眼花了吗......

"里凯莱": 这里的地形真奇怪，这属于什么？戈壁？下面还有一道峡谷？
"里凯莱": 小心脚下。
"斯普莉雅": 谢谢啦，我头一次知道你这么绅士，里凯莱。
"里凯莱": 别了吧，被你这么夸总觉得没什么好事。
"斯普莉雅": 别这么小心眼，这回不会让你破财的。
"斯普莉雅": 目标的移动修道院......我看看，就是前面那个？
"里凯莱": 应该没错。
"斯普莉雅": 怎么办，直接到门前，然后礼貌敲门？
"斯普莉雅": 会有人来应门吗？
"里凯莱": 你觉得呢，费德里科？

"费德里科": 继续靠近。
"里凯莱": 了解了。呃，要提前确认一下我们的任务情报吗？
"费德里科": 已确认目标建筑物，为伊比利亚与拉特兰于1011年合资修建的可移动大型综合设施，官方正式名称为“安布罗修修道院”。
"费德里科": 该修道院原属国为伊比利亚，于六十一年前偏离航线，之后失去踪迹。
"费德里科": 一个月前，拉特兰收到来自该修道院的求助联络，因此向此地派出两名特使了解情况。
"斯普莉雅": 到这里为止还很好懂。
"斯普莉雅": 到底是怎么发展到我们的两位特使失去联络，需要你们俩这样的武装人员直接找上门这种地步的？
"费德里科": 我接到的任务是寻找失联的枢机辅佐官蕾缪安与万国信使奥伦·亚吉奥拉斯，确保两位的人身安全。
"费德里科": 以及确保修道院内部正常运转，避免出现人员伤亡。
"里凯莱": 教宗阁下的意思是......让你别用力过猛？
"费德里科": ......
"斯普莉雅": 其实奥伦怎么样都无所谓啦，我可是为了蕾缪安才申请加入队伍的。
"费德里科": 你的私人感情与任务无关。
"费德里科": 目前任务对象状态不明，且无法确认建筑物内的居民是否怀有敌意。
"里凯莱": 呃，所以？我们要先试试潜入调查什么的吗？
"费德里科": 不。
"费德里科": 我的建议是立即执行正面突击，速战速决。
"费德里科": 如二人已遭遇意外，我的任务将变更为遣送遗骨回归拉特兰城。



02.HE-1 我有一个荣美家乡



//////  那时恰好是秋天，我与几名逃离家乡的伊比利亚人同行，行走在荒无人烟的荒野上。  //////
//////  就在我们以为我们将会困死在此处时，面前出现了那座修道院。它就好像是某种奇迹，某种不可能存在于现实中的救赎。  //////
//////  托雷格罗萨主教阁下接纳了那些无处可去的人。他是一位值得尊敬的老人，是最虔诚的信教者。  //////
//////  在主教阁下的管理下，这座被困于荒野的修道院恍若被从世间割离，成为某种异境。  //////
//////  在这里，本不可能有交集的人们和谐共处，互相依靠。尽管生活清贫，但人们不分彼此，都在为了生活而努力。  //////
"蕾缪安": ......
"蕾缪安": 这个字迹，果然是......
//////  当我提出自己的请求时，主教阁下沉默许久后对我说，他不愿拒绝任何需要帮助的人，可我提出的地方太过遥远，他无能为力。  //////
//////  或许是因为本就不怀太多期望，因此，在被拒绝时我也并不失望。拒绝我的无理请求，主教阁下看起来比我更愧疚难堪。  //////
//////  我为得见这样一处善人的乐园而深感欣慰，可与此同时，我也难以抑制地想到这样的问题：  //////
//////  这样一处不适应土壤的奇迹，是否真的能长存于这片大地之上？  //////
//////  ......或许我在这里停留得是有些久了。  //////
//////  我该再度启程，去往拉特兰。  //////
"蕾缪安": “本不可能有交集的人们”“不分彼此”......
"蕾缪安": 确实，在最初看到那样的景象时，我也有些怀疑自己的眼睛。
"蕾缪安": 如果只是作为我个人来说的话，真希望这样难得的和平能一直一直持续下去。
"蕾缪安": 请进。
"修道院居民": 蕾缪安小姐，你在忙吗？
"修道院居民": 之前你提过的那种正在流行的图案，我和其他人尝试着绣了一些在被褥上，你看这样对吗？
"蕾缪安": 让我看看......嗯嗯，你们的手艺很好呢，这个就算摆在商店里卖，我也不会感到奇怪的。
"修道院居民": 没你夸的这么厉害......
"修道院居民": 现在天气凉了，蕾缪安小姐这里的被褥可能不大保暖，大家就凑了点布料送过来。
"蕾缪安": 谢谢关心~
"蕾缪安": 不过给我的话，你们那里会不会不够用？还是优先分给大家吧。
"蕾缪安": 别看我这样，其实我很强壮，不会轻易生病的哦。
"修道院居民": 哈哈，我们没关系的，大伙匀一匀多少还是没问题的。
"修道院居民": 倒是蕾缪安小姐，看着也不像是很强壮的样子啊，拉特兰也真是的，怎么派蕾缪安小姐出这么远的门？
"蕾缪安": 嗯，这个嘛......
"蕾缪安": 这个问题，我也很想问一问我的上级呢。

"福尔图娜": ......
(灰幕)
"福尔图娜": 为什么我们不回去？
"德尔菲娜": 因为莱蒙德他们不能和我们一起！这个理由还不足够？
"德尔菲娜": 难道你要抛下他们？我做不到！
(灰幕结束)
"福尔图娜": （笨蛋菲娜，难道我看起来是这么冷血的人吗？要把从小一起长大的朋友丢下，这我当然也做不到啊。）
"福尔图娜": （可是继续像现在这样僵持下去也不是办法，最近大家脾气都开始变坏了......）
"福尔图娜": （真的就没有什么更好的解决方法了吗？）
"福尔图娜": 唉......
"？？？": 怎么了，怎么又唉声叹气？
"莱蒙德": 真稀奇，怎么就你一个人，德尔菲娜竟然没和你在一起？
"福尔图娜": 莱蒙德！
"福尔图娜": 你这话什么意思，我和菲娜也不是时时刻刻都在一起吧？
"莱蒙德": 差不多吧，你们不是关系好得就差睡一张床了吗。
"福尔图娜": 我们有时候是会一起睡......呃，不对，重点不是这个！
"福尔图娜": 你什么时候回来的？我听说你跟着杰拉尔德叔叔出去狩猎了，这次还顺利吗？有没有受伤？
"福尔图娜": 你受伤了一定要说出来，千万别学杰拉尔德叔叔，什么都自己忍着。
"莱蒙德": 没事，你别瞎操心。
"福尔图娜": 我瞎操心？上回受伤不说最后伤口发炎的人是谁？私自去矿脉差点回不来的又是谁？
"福尔图娜": 你——
"莱蒙德": 好，好，算我错了！
"福尔图娜": 哦？“算你错了”？
"莱蒙德": ......是我错了。
"莱蒙德": ......
"莱蒙德": 福尔图娜。
"福尔图娜": 嗯？
"莱蒙德": 其实我来是想问问你，你......还有德尔菲娜，当然，也包括其他人。
"莱蒙德": 我是想问，你们要不要和我们一起......
青年的话语在中途停住了。
他忽然沉默起来。
"莱蒙德": ......
"福尔图娜": 莱蒙德？
"莱蒙德": ......算了，没什么。
"莱蒙德": 一会我要出去一趟，可能得晚一点回来。
"莱蒙德": 福尔图娜，晚餐前你能来楼顶的圣堂一趟吗？
"莱蒙德": 把德尔菲娜也喊上......我有件事要告诉你们。

"斯普莉雅": 让我看看，这是什么情况？
"斯普莉雅": 他们在修道院旁边还建了一条街？这都建到移动地块边缘去了......修道院里的空间有这么紧张吗？明明看起来大得很欸。
"里凯莱": 这里的人口有这么多吗？要养活一大群人不容易吧......特别还是在这样的荒野中央。
"费德里科": 进去看看就知道了。
"费德里科": ......有人来了。
"斯普莉雅": 嗯？啊，从里面走过来，应该是当地的居民吧？
"莱蒙德": 赫曼那家伙，到底去哪了......
"斯普莉雅": 嗨，看不清脸的帅哥，下午好啊。
(震动)
"莱蒙德": ——！什么人？！
"莱蒙德": 光环......你们是萨科塔。
"莱蒙德": 不管你们是什么人，有什么目的，都不许再靠近了！
"里凯莱": 刚见面，别这么剑拔弩张，大家都和气一点，哎，好好说话。
"里凯莱": 下午好，这位先生，我们三人来自拉特兰，不是什么可疑人物，请别紧张......如果能把你手上的武器收起来就更好了。
"莱蒙德": ......
"莱蒙德": 拉特兰的人来这种荒郊野岭有何贵干？
"里凯莱": 呃，我们是受教宗阁下派遣，来这里寻找我们的两位同僚......
"费德里科": 你是在浪费时间，里凯莱。
"费德里科": 从表现来看，我认为他很清楚我们的身份与来此的动机，并且怀有敌意。
"费德里科": 你对拉特兰很反感，表现出了明显的排斥以及不满。你的敌意从何而来？
