
《10.破碎日冕》

01.10-1 被追逐者
"特雷西斯": 就连王庭......卡兹戴尔空有十王庭的传说，大半王帐都已空置。
"特蕾西娅": ......所以你才想要这场战争。
"特雷西斯": 不是我想要，而是萨卡兹需要。
"特雷西斯": 这一次，战火将自我们脚下燃起。维多利亚、乌萨斯、莱塔尼亚......没有一座城市、一片土地能够幸免。
"特雷西斯": 在接下来的一百年内，敌人们不会再有余力将目光投向卡兹戴尔。
"特雷西斯": 不，不仅如此。等我们拥有了引领风暴的能力——他们将反过来畏惧萨卡兹的注目，就如他们畏惧着风暴降临。
"特蕾西娅": 风暴......正聚于我们所处的这处塔顶。
"特蕾西娅": 他们会看见身处风暴核心的我们。任何萨卡兹的敌人都会竭尽全力扑上来阻止我们。
"特雷西斯": 那就让他们来吧。
"特蕾西娅": 你......你不怕第一道雷落下的时候，你也会烈焰焚身吗？
"特雷西斯": 当你建起巴别塔的时候，你也知道所有反对者都会将刀剑指向你——你那时可曾怕过？
"特蕾西娅": ......
"特雷西斯": 你用生命建起的高塔已经坍塌，就像上一座卡兹戴尔一样。
"特雷西斯": 而此时此刻，我们站在这里——一座新的塔，一个新的机会。
"特雷西斯": 看看今天的伦蒂尼姆吧。你刚刚主持了诸王的会议。难道你没有发现？
"特雷西斯": 就连我们之间那场无用的战争开始之前，萨卡兹也从未如此接近团结。

//////  「我正准备回到城外的军营里，特蕾西娅殿下。」  //////

//////  「我明白，食腐者之王。我们这次会议会尽量简短些。」  //////

//////  「你总是这么来去匆匆啊，食腐者。你是不想与我们相聚吗？」  //////

//////  「我可没你那么清闲，血魔。伦蒂尼姆之外屯着十万大军，
		我和我的将士们没有一刻能够松懈。」  //////

//////  「那不如交换吧，我正好厌烦了城内那些贵族的喋喋不休。」  //////
//////  「特雷西斯，你那个高卢的小朋友也一样愚蠢而且聒噪。」  //////
//////  「我可不敢保证什么时候我会失去耐心。」  //////

//////  「他的脑袋还得在脖子上待一段时间。别让城内的维多利亚军队给我们增加麻烦。」  //////

//////  「那好吧。不过，你不觉得还有人没派上用场吗？」  //////

//////  「你说我吗，血魔？我接下来可有大事要办，对吧，殿下们？」  //////

//////  「当然。想要控制伦蒂尼姆，离不开你们每一位的努力。」  //////
//////  「你派出去的信使都有消息了吗，赦罪师？」  //////
//////  「在曼弗雷德的不懈劝说下，巫妖已在赶来伦蒂尼姆的路上。」  //////
//////  「仅剩的温迪戈仍在乌萨斯北境对抗精怪。他们心中已没有王庭。」  //////
//////  「独眼巨人送回了一封信，一如既往，她描述了一个悲惨的场景——伦蒂尼姆被大火撕扯成了三块，碎片大厦倒在数百道闪电之下，而摄政王......是的，她还预言了摄政王殿下的结局。」  //////
//////  「说出来。」  //////
//////  「她说她看到了你孤独地死在圣王会西部大堂地下的王座上。」  //////
//////  「回信给她，感谢她的关心。」  //////
//////  「继续搜寻石翼魔的消息。但凡能寻到任何遗落的血脉，立刻向他们发出邀请。」  //////
//////  「委员会将和众王庭一起，确保这场战争的胜利。」  //////

"特雷西斯": 如果萨卡兹还能有获得新生的机会，那么眼下就是那个唯一的机会。
"特蕾西娅": ......又会有很多人死去。
"特蕾西娅": 很多......维多利亚人，也有很多萨卡兹。人们的鲜血将会彻底改变这座灰色的城市，人们的哀嚎甚至将盖过雷声。
"特雷西斯": 这是一场战争。一场我们与他们之间的战争，持续了近万年，从未结束。
"特蕾西娅": 是啊，战争......这从来就是我们萨卡兹存续下去的方式。
"特雷西斯": 你有任何异议的话，说出来。
"特雷西斯": 就像过去无数次那样，指出我计划中的风险。
"特蕾西娅": 我没有异议。
"特雷西斯": 没有......吗？
"特蕾西娅": 如果你能听到我脑海里的声音，你就会知道，他们不会让我有第二种选择。
"特蕾西娅": 倘若这场战争真的能让卡兹戴尔摆脱毁灭的循环......倘若这场风暴真的能浇灭萨卡兹的恨火，令无数亡灵重归自由......
"特蕾西娅": 那我会与你一起，确保我们的理想能够实现。
"特雷西斯": ......
"特雷西斯": 这样也好。
"特雷西斯": 还有一件事——
"特雷西斯": 罗德岛的人，他们已经在路上了。

6:50 A.M. 天气/阴
距伦蒂尼姆五百二十七公里，废弃矿场作业平台
"罗德岛干员": 凯尔希医生，停泊程序将在一小时四十八分钟之后启动。
"凯尔希": 好。在这之前，确保接舷区能正常使用。
"罗德岛干员": 明白，我们会加紧排障。
"凯尔希": 华法琳，危重病人是否都安置妥当了？
"华法琳": 放心，还差最后三个明天就要手术的，移动病床马上就能整理出来......
"华法琳": 别催我好不好？你板着脸往这里一站，我们的医疗干员都还要忍不住多瞄你几眼。
"凯尔希": ......情况紧急。
"华法琳": 好啦，我知道，不开玩笑。
"华法琳": 自从进入维多利亚，我们哪一天不是过得像打仗一样。要不是那么多干员都被你提前调走......
"凯尔希": 罗德岛需要照常运转。
"凯尔希": 华法琳，在第一次决议会上，我们就已经达成共识。
"华法琳": 我没意见啊。四年前你让Mon3tr把我绑上这条船......
"凯尔希": 嗯？
"华法琳": ......我是说邀请我加入罗德岛的时候，我们可是说好了，我是作为医生来和你一起研究矿石病的。
"华法琳": 什么“跟随着新任魔王一起打回卡兹戴尔”，从来就不在我的合同条款里，就算把卡兹戴尔替换成伦蒂尼姆也一样。
"凯尔希": 对我们许多干员来说，都是如此。我也无意强制任何一位干员投入和他们长期目标无关的任务中。
"凯尔希": 更何况，哪怕我们有其他不得不采取的行动，也不能置遍布各地的感染者于不顾。
"华法琳": 唉，要不是还有这些工作，去伦蒂尼姆的精英干员还能多几位。
"华法琳": 也不知道阿米娅他们怎么样了......
"凯尔希": 等他们抵达伦蒂尼姆附近，我们会收到消息。

"阿米娅": 侦察小组，汇报两侧情况！
"阿米娅": ......收到。确认没有威胁。
"阿米娅": 可露希尔，前方可通行，工程队跟上！
"可露希尔": 好嘞！
"可露希尔": Dr.(博士)，你还走得动吗？要不要让我的无人机载你一程？
选项：
    分支1：还好，接着走吧。
    分支2：......
    分支3：无人机什么时候能有这项功能？

分支1、2：
分支3：
    "可露希尔": 我想想啊......这主意似乎还真不错哎。
"阿米娅": 博士，我们再坚持一下，等步行穿过这片危险地带，我们就能登上载具，稍做休整。
"阿米娅": 到时候我们也该给凯尔希医生发个信了......她一定非常担心我们。
选项：
    分支1：不知道本舰那边顺不顺利。
    分支2：她也该给我们发个信。

分支1：
    "阿米娅": 这就是凯尔希医生必须留下的理由......只有安置好了罗德岛，她才能与我们会合。这是我们共同的责任。
分支2：
    "阿米娅": 安全起见，我们在靠近伦蒂尼姆的这段路途上不能使用发报机。
    "阿米娅": 任何信号都可能会被附近的公爵军队截获。
    "阿米娅": 不，或许更糟......博士，我们不能给特雷西斯这么早就发现我们的机会。
"阿米娅": 博士，请放心交给我吧。
"阿米娅": 从罗德岛计划驶入维多利亚开始，你与凯尔希医生一直在忙着确保行驶路线的安全，
"阿米娅": 我们说好了，接下来这段路由我负责更多一点。
"阿米娅": 我希望你也能喘口气......哪怕只是精神上的也好。
"阿米娅": 博士，我们得继续前进了。

"华法琳": 哎，有时候光是想想这几个月我们是怎么进来的，我都觉得顺利得不敢置信。
"华法琳": 眼下那么一帮老东西聚在伦蒂尼姆，加在一起都没发现我们的踪迹......凯尔希，你是用了什么我不知道的古老秘法吗？
"凯尔希": ......如果真有什么源石技艺能让罗德岛隐形，相信我，我十几年前就会这么做。
"华法琳": 哈哈，差点忘了。“矿场废旧工业装备回收机构”......对吧？
"华法琳": 我们就靠这个名号拿到了一路上的通行和停靠许可。真亏了Dr.(博士)能想出来。
"凯尔希": Dr.(博士)在某些方面......思考角度总是堪称独特。
"凯尔希": 也恰好，可露希尔出于私人兴趣，在过去几年带领工程部研发了一些能运用到废品回收工作上的技术。
"凯尔希": 总之，这是个不错的名目。再加上几位朋友的援助，迄今为止，这个计划实施得还算成功。
"凯尔希": 至于接下来......得看阿米娅和维娜的了。

"推进之王": 左二右四。因陀罗？
(震动)
"因陀罗": 搞定。
"推进之王": 右侧如何了？
"摩根": 啧，有个坏家伙浪费了我一点时间，不过都收拾完了。
"推进之王": ......达格达呢？
"因陀罗": 我听到钢爪和弩箭相撞的声音了。
"推进之王": 后方还有敌人？
"因陀罗": 放心交给她吧。
"因陀罗": 喂，这里还藏着一个——！
(震动)
"推进之王": ......现在没了。
"推进之王": 只差达格达......
"因陀罗": 维娜你听，后头安静了。我就说她搞得定。
"推进之王": 好。先锋小组任务完成。
"推进之王": 马上通知阿米娅，附近已经没有贵族的巡逻兵，他们可以过来了。

"阿米娅": ......前路畅通，无人受伤。
"阿米娅": 发报机恢复运作。
"阿米娅": 博士......我们很快就能见到伦蒂尼姆了。
选项：
    分支1：终于走到这里了。
    分支2：......
    分支3：我能喘口气了？

"阿米娅": 等一下，博士......杰西卡发来了一条消息。
"阿米娅": 啊......在执行下一步计划之前，我们还得派几名干员执行另一项任务。
"阿米娅": 我们需要救两个人。一个是黑钢的朋友，另一个是能帮助我们进入伦蒂尼姆的线人。



02.10-2 抢夺目标



7:25 A.M. 天气/阴
距离伦蒂尼姆十公里，荒地车道
"罗德岛干员": 通讯信号消失前，黑钢的飞行器就在前方一百米左右的位置。
"罗德岛干员": 等我用望远镜确定下具体方位——等等，你怎么站起来了？！
"因陀罗": 你闻到烟味了没？
"罗德岛干员": 没......
"因陀罗": 放下你手里的铁疙瘩吧，飞行器肯定就在前面。
"罗德岛干员": 不用先确认下敌人数量？
"因陀罗": 最多不超过三十个。
"罗德岛干员": 呃，这也是你闻出来的？
"因陀罗": 说什么乱七八糟的呢？出发之前，摩根跟我说了，他们小队一般三十人一组。
"罗德岛干员": 哦，对，Misery传回来的情报就是这么说的。按照敌人的习惯，附近应该还有另外两支小队，他们之间会相互支援。
"因陀罗": 哼，他们还真把这里当自家地盘了。
"罗德岛干员": 你可别冲动。阿米娅说了，在进伦蒂尼姆之前，我们不能闹出太大动静，有那么多势力的眼睛盯着呢。
"因陀罗": 白轮，你在小兔子的队里，跟我们一块行动几天了？
"罗德岛干员": 从离舰开始算，有五天了吧。
"因陀罗": 那你知道从推进之王来到格拉斯哥帮，到她成为我的主子，一共花了多少时间？
"罗德岛干员": ......不知道。
"因陀罗": 两天。她只用了两天。
"因陀罗": 第一天，她打架赢了我。第二天，我们一块打架赢了另一伙不怀好意的莱塔尼亚佬。
"因陀罗": 在那之后，我们就是过命的交情。
"罗德岛干员": ......虽说合作时间还不算长，但我很信任你的能力，因陀罗干员。
"因陀罗": 那就好。走吧，我们跟上达格达。
"罗德岛干员": 达格达已经行动了？！你是说那道突然蹿过去的黑影......
"因陀罗": 刚入伙的时候她还老惦记着什么骑士架子，现在一有架打冲得比谁都快。
"因陀罗": 我们得跟紧一点，要不然架都被她一个人打完了。
"因陀罗": 达格达出手精准，她一定会从飞行器的侧面翻到顶上去。我们从背面绕，把周围的人清一清，然后突击飞行器的门。
"罗德岛干员": 明白，我会给你打掩护。
"因陀罗": 干完这一架，你也是我们的好兄弟了。
"罗德岛干员": 哈......哈哈。
"因陀罗": 按罗德岛的规矩该怎么说来着......想起来了。
"因陀罗": 救援目标，伦蒂尼姆市民一人，黑钢驾驶员一人。敌方目标——
"因陀罗": ——深池。

"深池士兵A": 喂，坐规矩些，别想偷偷摸摸地碰发报机。
"伦蒂尼姆市民": 别、别杀我！我只是手麻了，想稍微活动两下......
"深池士兵B": 你别使那么大力气，万一真把这人弄死了，回去怎么跟长官交代？
"深池士兵B": 别忘了，我们的目标是这个人，弄走这台会飞的载具只是顺便。
"深池士兵A": 你知道怎么让它动起来了？
"深池士兵B": 不知道。
"深池士兵A": 那你就不该一进来就把驾驶员弄死！依我看，还是别在这里浪费时间了，把这人带回去，这台飞不起来的破载具就留着吧。
"深池士兵B": 外面这条路上都是我们的人，再待一会也没什么吧？萨卡兹在城内，大公爵的军队都驻扎在附属地块的军营里，不会有人来找我们麻烦。
"伦蒂尼姆市民": 先、先生们，你们不是萨卡兹？
"深池士兵A": 你没长眼睛吗？我们怎么可能会是那种脏东西！
"伦蒂尼姆市民": 脏、脏东西......呵呵......您说得对......
"深池士兵B": 行了，除了问话以外，别跟这伦蒂尼姆人交谈。这小子敢背叛萨卡兹，说不定有些来头。
"深池士兵A": 也对，谨慎一点好。你动作快一点，我出去看看外面的人的情况。
(震动)
"深池士兵B": ......
"深池士兵B": 刚才是不是有什么动静？
"伦蒂尼姆市民": 先生，我的心跳声音太大了......我什么都听不见。
(震动)
"深池士兵B": 我们被袭击了？！顶上有东西——M-709，你在外面看到了吗？M-709？！
(震动)
"深池士兵B": 黑色的......利爪？是荒地野兽吗？
"深池士兵B": 不，不对！是——特殊武器！！
"深池士兵B": 全体注意，有敌人躲在飞行器顶上！敌人正在......正在撕开顶部的金属——
(震动)
"深池士兵B": 唔——！
"达格达": 你挡下了我的一击。
"达格达": 情报是准确的，你们不是什么荒野上的强盗。维多利亚教养了你，就是为了让你反手捅刀子的吗，士兵？
"深池士兵B": 咳咳......你挺强的。你在为魔族佬干活吗？
"达格达": 你......！
"达格达": 这种侮辱......足以让我对你发起十次决斗。
"达格达": 深池的士兵，你记住，我们会把伦蒂尼姆从篡夺者的手中取回来。无论是那些萨卡兹，还是你们这些叛徒——
"达格达": 留给你们肆意妄为的时间不多了。
(震动)
"深池士兵B": 呵......哈......瞧瞧你那不可一世的架子，你是贵族的人，你们还在......苟延残喘。
"深池士兵B": 看来，你也想要这个从萨卡兹手里逃出来的胆小鬼，想要他身上的情报——
"达格达": ......突然换了攻击目标？
(震动)
"伦蒂尼姆市民": 救、救命啊！救救我！
"达格达": 别碰他！
"达格达": 这是......假动作？
"达格达": 卑鄙小人！
(震动)
"深池士兵B": 啊！
"因陀罗": 说过多少次了，打架的时候，要多注意别人的花招。
"达格达": ......
"达格达": 你来得太慢了。
"因陀罗": 还不是因为我帮你清理了一圈外面的小喽啰？喂，你告诉她，刚才外面有多少人，七个，还是八个？
"达格达": 我没想跟你比。
"因陀罗": 你的表情可不是这么说的。
"因陀罗": 当年我们一块出第一个任务，一个雇佣兵从你手上逃了回去，你愣是摆了三天臭脸，我和摩根都以为你生了什么重病。
"因陀罗": 你刚刚的脸色就跟那时候一样。
"达格达": ......当时的事是我的责任，而且，那已经过去很久了。
"深池士兵B": 咳咳咳......你们......到底是哪来的？我看那个黑衣服的，还以为她是贵族骑士，但你出手怎么跟个......
"因陀罗": 跟个街头混混似的？哈，眼神不错。
"达格达": 抓紧时间。这人不弱，比外面那些被你击倒的都要强一些。
"达格达": 能在萨卡兹和公爵部队的夹缝中活动自如，甚至控制住了部分进出伦蒂尼姆的要道，深池并非散兵游勇。
"达格达": 我们需要尽快救出目标，回到安全区域。
"因陀罗": 知道了。“留给你们肆意妄为的时间不多了”，对吧？
"因陀罗": 想放狠话的话，这还不够狠。
"因陀罗": 记不记得我怎么教你的？应该说——
"因陀罗": 想哭着求饶命的话，趁现在。
(震动)
"深池士兵B": 唔......M-701请求支援......蔓德拉长官......
"罗德岛干员": 达格达，因陀罗，有敌人靠近，建议撤退！
"达格达": 收到。
"因陀罗": 嘁，来得挺快。
"达格达": 你负责侦察，没发现附近还有人？
"因陀罗": 麻烦，来多少收拾多少不就行了。
"达格达": ......白轮，麻烦隐蔽好自己。进来的敌人，我和因陀罗处理。
"深池士兵": 他们在里面！
"伦蒂尼姆市民": 女士们，救、救命！我可不想再落到他们手里！
"因陀罗": 嘘，别出声，躲里面一点。
"因陀罗": 达格达，我们只用带回目标就行，对吧？那把这大铁疙瘩拆了，应该也没什么问题？
"达格达": 这话等回去以后，你跟推进之王说。


  <行动后>


8:15 A.M. 天气/阴
距离伦蒂尼姆数公里，附属地块
"罗德岛干员": 可露希尔，无人机有信号了！
"可露希尔": 快点快点，让我看看！
"可露希尔": 哦......哦，不错嘛，新加上去的摄像模块运作正常，至少一百米以内看得都很清楚。
"可露希尔": 续航也很稳定！嗯，像这样一直往前飞的话，是不是能翻过高墙，偷偷看一眼里面长什么样子......
"罗德岛干员": 等等，那样一定会被敌人守军发现并击落的！
"可露希尔": 我才不会让大家一起冒这种险啦，放心放心。
"可露希尔": 当然，隐形涂料的研发还是得抓紧......
"罗德岛干员": 可露希尔，无人机报警了！
"可露希尔": 有人靠近警戒范围......自动攻击模块充能准备......
"可露希尔": 等等，是救援小队！警报解除！
"可露希尔": 阿米娅、博士，因陀罗和达格达他们回来啦！
选项：
    分支1：可露希尔的无人机变厉害了。
    分支2：......
    分支3：我们的侦察小组还没看到人呢。

分支1：
    "阿米娅": 是啊，这一路上，可露希尔都在埋头研究这些无人机。
    "阿米娅": 她想加强它们的侦察能力，这样的话，就不会发生有敌人靠近而我们都没发现的情况了。
分支2：
    "阿米娅": 博士也松了一口气对不对？
    "阿米娅": 这毕竟是我们在靠近伦蒂尼姆后开展的第一次行动，我......我还是有点担心。
分支3：
    "阿米娅": 无人机能帮助我们看得更远。
    "阿米娅": 博士，等我们进了伦蒂尼姆，说不定可露希尔和她的无人机能起到很关键的作用。
    "阿米娅": 因为......里面的情况，对我们大多数人来说都是完全未知的。我们需要更多双眼睛。
"阿米娅": 博士，您是不是也发觉可露希尔有些紧张？
"阿米娅": 她以前很少参与离舰行动，更不用说这次，我们谁都不知道需要在外面待多久。
"阿米娅": 不过没事的，我相信她，也相信所有一起行动的干员。
"阿米娅": 无论是跟着我们的这十多位干员，还是跟着Misery和Logos先行一步的两支小队......
"阿米娅": 大家都是在清楚任务目标的前提下，主动报名参加了这次行动。
"阿米娅": 目前，我们第一阶段与第二阶段的行动均已获得成功，摆在面前的是第三阶段——
"阿米娅": ——入城。
选项：
    分支1：我们准备怎么潜入伦蒂尼姆？
    分支2：这次我们还是从下层基础结构进去吗？
    分支3：又要强行登城的话，我需要做心理准备。

"阿米娅": 我们没有办法和强行登上切尔诺伯格核心城一样，登上伦蒂尼姆。
"阿米娅": 博士，我们已经能看到伦蒂尼姆的轮廓了，请看看我们面前的高墙。
"阿米娅": 没有任何一个国家的军队成功突破过伦蒂尼姆的防御，就连乌萨斯的高速军舰也不能。
"阿米娅": 我们都知道，伦蒂尼姆曾是泰拉的经济中心，但只有亲眼见过这座城市的人，才会清晰地感觉到，它更是一座永不会陷落的坚固堡垒。
"阿米娅": 大多数移动城市的排水结构都是易于被外部突破的弱点，而建造伦蒂尼姆的工程师们却甚至利用了这部分弱点。
"阿米娅": 据说他们在地下基础结构里建造了自动化的工业流水线——
"阿米娅": 在伦蒂尼姆的全盛时期，这些机械设备没日没夜地运转，生产出了延续一个时代的维多利亚的辉煌。
"阿米娅": 而在战时，这些流水线则会为建在高墙上的城防系统源源不断地供给武器弹药。
"阿米娅": 如此精密设计的地下结构，我们甚至无法在工程图纸上找到一个能从外部隐秘登入的缺口。
"阿米娅": 更何况，我们也不可能拿到伦蒂尼姆基础建设的工程图纸啊......
选项：
    分支1：那Logos和Misery他们怎么进去的？
    分支2：......
    分支3：我还以为凯尔希能做到。

分支1：
    "阿米娅": 博士，请相信我们的精英干员的能力。
    "阿米娅": 如果说煌擅长的是机动战，迷迭香是歼灭战战术核心，那上述两位源石技艺大师无疑是所有精英干员中最适合潜入任务的。
    "阿米娅": 等您见一次Misery的源石技艺，您就会明白我为何这么说。
    "阿米娅": 您或许在炎熔口中听说过一种所谓的空间法术......这能部分概括Misery源石技艺的神奇之处，但并非全部。
    "阿米娅": 在加入罗德岛之前，他甚至成功潜入过萨尔贡古老王朝的地下陵园。
    "阿米娅": 而Logos......他有他自己最特殊的方法，这同样无法适用于任何未经训练的术师。
    "阿米娅": 我想，任意一座城市只要仍存在有生命进出的理论上的可能性，那就没有一座实质性的高墙能拦住他们。
    "阿米娅": 除此之外，还有一位特殊干员会在我们入城后，与我们会合。但她的方法我们恐怕也用不上。
分支2：
    "阿米娅": 博士，不用太担心。
    "阿米娅": 您知道的，我们已经有一个计划了，一旦这个计划成功实施，我们大家都会更加安全。
    "阿米娅": 而即便这个计划失败了，我们也还会有第二第三个。
分支3：
    "阿米娅": 博士......我知道您只是想调侃。
    "阿米娅": 在过去一年多时间里，我们一起经历了数百次情报分析会议，近千次战术模拟......我们都看到了凯尔希医生是如何为此次行动殚精竭虑的。
    "阿米娅": 但无论是她，还是罗德岛，又或者是身怀绝技的几位精英干员......我们都有许多竭尽全力都无法办到的事。
选项：
    分支1：所以你找了一位领路人。
    分支2：很高兴听起来不会立刻开打。

分支1：
    "阿米娅": 嗯......我想先试试安全一些的办法。
分支2：
    "阿米娅": 博士，我还记得，出发前的会议上，我们所有人在这一点上的观点都出奇地一致。
    "阿米娅": ——就算罗德岛本舰在这里，我们对上伦蒂尼姆的城防力量，还是无异于以卵击石。
"阿米娅": 在对上真正的对手之前，养精蓄锐是更好的选择。
"阿米娅": 博士，我能感觉到，随着一天天靠近伦蒂尼姆，每个人的情绪都逐渐紧绷......
"阿米娅": 可不管接下来会发生什么，我们都做好了战斗的准备。
选项：
    分支1：阿米娅你呢？
    分支2：......
    分支3：我也担心阿米娅。

"阿米娅": 博士......
"阿米娅": 您知道的。如果说有谁必须站在这里，那个人不会是可露希尔，也不是其他出于各自信念跟随我们而来的人。
"阿米娅": 那个人是我......嗯，或许还有那边的推进之王小姐。

"推进之王": ......因陀罗。
"摩根": 维娜，你醒了？你一整天没睡，本来说好了在正式回城之前，你最好稍稍打个盹的。
"推进之王": 我睡不着。
"推进之王": 因陀罗和达格达是不是该回来了？
"摩根": 哎，我都不知道该不该羡慕那俩家伙了，明明自告奋勇去执行任务，是为了腾出空档给你休息一会，结果反而害你牵肠挂肚。
"推进之王": ......我应该和她们一起去的。自从回到这里，只要一闭眼，我眼前就都是当时我们一路逃出来时的事。
"推进之王": 如果遇到危险，我应该和她们在一起......不，我理应挡在她们身前。
"摩根": 你呀......总是忧心太多。只不过是回家之前的热身运动，能有什么危险？
"摩根": 达格达先不说，就汉娜那副急不可耐的样子......呵。
"摩根": 不给她安排点活释放释放的话，我怕她待会进城的时候根本忍耐不了，看到个敌人就要冲上去挥拳头。
"推进之王": ......她已经沉稳了许多。
"摩根": 哼，要是真的沉稳了，她就不会老跟达格达吵来吵去的了。都知道你休息不好，还完全不肯消停。
"摩根": 维娜，要不要趁她们不在，我们两个偷偷溜回家算了？
"摩根": 毕竟你看，她俩就只会打打杀杀，只有我最有脑子，也最靠得住嘛。
"因陀罗": 你又说我什么坏话呢？！
"摩根": 你看啊维娜，她是不是比去之前还要精神了？
"推进之王": 呵呵。
"因陀罗": 维娜，你笑了？
"因陀罗": 回来这一路上，我看你总在皱着眉想事情......
"摩根": 傻汉娜，你就不能别再提那些事情了吗？你没看我好不容易——
"推进之王": 摩根，谢谢。
"推进之王": 只是，我建议你也休息一下。如果说连我的心情都要让你费心谋划，那我这个老大未免当得过于失职。
"摩根": 好吧，都听你的。
"推进之王": 达格达。
"达格达": 我在。
"推进之王": 你身上有血？
"达格达": 我很好。这些血迹是敌人留下来的。
"推进之王": 那就好。
"推进之王": 那些敌人......深池，对吧？你觉得他们怎么样？
"达格达": 接近正规军的实力。并且，单说我和因陀罗一起击败的那个小队长，他的作战手法有明显的受过维多利亚军方训练的痕迹。
"推进之王": 所以......
"达格达": 他们很可能真的是叛军。
"推进之王": 他们在和萨卡兹合作吗？
"达格达": 他们瞧不起萨卡兹。可是，这大概并不妨碍他们暂时与萨卡兹站在一起。
"推进之王": ......他们想瓜分伦蒂尼姆。不，或许不止伦蒂尼姆。
"推进之王": 外面那些公爵......有几位在支持深池？又有哪几位......支持萨卡兹？
"达格达": 无耻！他们宁可放任外敌的旗帜飘扬在伦蒂尼姆的上空，也不愿暂且放下争权夺利的私心，仍然只顾着彼此拉锯，互相掣肘。
"达格达": 就是这些公爵和他们的军队，让维多利亚陷入了今天的危局！
"达格达": 既然我们已经走到了这里，那么这片乱象终于临近了终结的那一天。
"达格达": 就如我说过无数次的那样，作为一名塔楼骑士，我与我的剑都准备好了。
"达格达": 只等您带领我们回到伦蒂尼姆，集结所有愿意为您而战的志士......
"摩根": 达格达！
"摩根": 我们说好的，在回去之前，先不提这些。
"达格达": 但我们已经站在伦蒂尼姆的门口了。
"因陀罗": 我说过的吧，摩根，不是只有我受不了她。她最近就不太正常，嘴里总是冒出一些我听不惯的调调。
"因陀罗": 喂，达格达，你又提什么剑不剑、骑士不骑士的，别忘了你现在拿的是什么武器，与你站在一起的又是谁！
"达格达": 我......
"推进之王": ......
"推进之王": 摩根，因陀罗，别怪达格达。
"推进之王": 我们......都有无法忘记的过去。也正是过去的追逐与鞭笞，促使我们并肩走到今天。
"推进之王": 达格达，我说过，我不想让你们任何一个人失望。
"达格达": 推进之王......
